# Gold-set points digitized directly from 1207.3275
# coupling_type=DarkPhoton source=figure
# mass_eV    coupling
1.000000e-09  7.600000e-04
1.500000e-09  7.600000e-04
2.500000e-09  7.600000e-04
5.000000e-09  7.600000e-04
1.000000e-08  7.600000e-04
2.000000e-08  7.600000e-04
5.000000e-08  7.600000e-04
1.000000e-07  7.600000e-04
2.000000e-07  7.600000e-04
5.000000e-07  7.600000e-04
1.000000e-06  7.600000e-04
2.000000e-06  7.600000e-04
5.000000e-06  7.600000e-04
1.000000e-05  7.600000e-04
1.100000e-05  7.600000e-04
