# Gold-set points digitized directly from 1401.6460
# coupling_type=AxionMass source=figure
# mass_eV    coupling
1.000000e-20  1.300000e-09
3.000000e-20  1.300000e-09
1.000000e-19  1.300000e-09
3.000000e-19  1.300000e-09
1.000000e-18  1.300000e-09
3.000000e-18  1.300000e-09
1.000000e-17  1.300000e-09
3.000000e-17  1.300000e-09
1.000000e-16  1.300000e-09
3.000000e-16  1.500000e-09
1.000000e-15  2.000000e-09
3.000000e-15  2.800000e-09
1.000000e-14  4.500000e-09
3.000000e-14  7.000000e-09
1.000000e-13  1.200000e-08
3.000000e-13  1.900000e-08
1.000000e-12  3.200000e-08
3.000000e-12  5.000000e-08
1.000000e-11  8.500000e-08
3.000000e-11  1.400000e-07
1.000000e-10  2.400000e-07
3.000000e-10  4.000000e-07
1.000000e-09  6.500000e-07
3.000000e-09  1.100000e-06
1.000000e-08  1.800000e-06
3.000000e-08  3.000000e-06
1.000000e-07  5.000000e-06
3.000000e-07  8.500000e-06
1.000000e-06  1.400000e-05
3.000000e-06  2.400000e-05
1.000000e-05  4.000000e-05
3.000000e-05  6.500000e-05
1.000000e-04  1.100000e-04
3.000000e-04  1.800000e-04
1.000000e-03  3.000000e-04
3.000000e-03  5.000000e-04
1.000000e-02  8.500000e-04
3.000000e-02  1.400000e-03
1.000000e-01  2.400000e-03
1.000000e+00  6.500000e-03
