# Gold-set points digitized directly from 1403.1290
# coupling_type=MonopoleDipole source=figure
# mass_eV    coupling
1.970000e-04  2.500000e-31
2.630000e-04  1.600000e-31
3.940000e-04  8.000000e-32
4.930000e-04  5.000000e-32
6.570000e-04  3.200000e-32
9.850000e-04  1.600000e-32
1.310000e-03  1.000000e-32
1.970000e-03  5.000000e-33
2.630000e-03  3.200000e-33
3.940000e-03  1.600000e-33
6.570000e-03  8.000000e-34
9.850000e-03  5.000000e-34
1.310000e-02  3.500000e-34
1.970000e-02  2.500000e-34
2.630000e-02  2.000000e-34
3.940000e-02  1.600000e-34
6.570000e-02  1.300000e-34
9.850000e-02  1.100000e-34
1.310000e-01  1.000000e-34
1.970000e-01  9.000000e-35
3.940000e-01  8.000000e-35
6.570000e-01  7.500000e-35
9.850000e-01  7.000000e-35
1.970000e+00  7.000000e-35
