# Gold-set points digitized directly from 1604.06800
# coupling_type=AxionElectron source=figure
# mass_eV    coupling
1.000000e-03  3.200000e-12
1.500000e-03  2.500000e-12
2.000000e-03  2.000000e-12
3.000000e-03  1.500000e-12
5.000000e-03  1.100000e-12
7.000000e-03  8.500000e-13
1.000000e-02  6.500000e-13
1.500000e-02  5.000000e-13
2.000000e-02  4.000000e-13
3.000000e-02  3.000000e-13
5.000000e-02  2.200000e-13
7.000000e-02  1.700000e-13
1.000000e-01  1.300000e-13
1.500000e-01  1.000000e-13
2.000000e-01  8.500000e-14
3.000000e-01  6.500000e-14
5.000000e-01  5.000000e-14
7.000000e-01  4.500000e-14
1.000000e+00  4.000000e-14
1.500000e+00  4.500000e-14
2.000000e+00  5.500000e-14
3.000000e+00  8.000000e-14
