# Gold-set points digitized directly from 1907.03767
# coupling_type=AxionNeutron source=figure
# mass_eV    coupling
1.000000e-22  3.200000e-08
3.000000e-22  3.200000e-08
1.000000e-21  3.200000e-08
3.000000e-21  3.200000e-08
1.000000e-20  3.200000e-08
3.000000e-20  3.200000e-08
1.000000e-19  3.200000e-08
3.000000e-19  3.200000e-08
1.000000e-18  3.200000e-08
3.000000e-18  3.200000e-08
1.000000e-17  3.500000e-08
3.000000e-17  4.500000e-08
1.000000e-16  7.000000e-08
3.000000e-16  1.500000e-07
1.000000e-15  4.000000e-07
2.000000e-15  8.000000e-07
3.000000e-15  1.200000e-06
5.000000e-15  2.500000e-06
1.000000e-14  6.000000e-06
2.000000e-14  1.000000e-05
3.000000e-14  6.000000e-06
5.000000e-14  3.500000e-06
1.000000e-13  2.000000e-06
3.000000e-13  2.000000e-06
1.000000e-12  2.000000e-06
3.000000e-12  2.000000e-06
1.000000e-11  2.000000e-06
3.000000e-11  2.000000e-06
1.000000e-10  2.000000e-06
3.000000e-10  2.500000e-06
1.000000e-09  4.000000e-06
3.000000e-09  8.000000e-06
1.000000e-08  2.000000e-05
3.000000e-08  6.000000e-05
1.000000e-07  2.000000e-04
3.000000e-07  6.000000e-04
1.000000e-06  2.000000e-03
3.000000e-06  6.000000e-03
