# Gold-set points digitized directly from 2105.04603
# coupling_type=AxionProton source=figure
# mass_eV    coupling
4.100000e-15  3.200000e-05
5.000000e-15  2.800000e-05
6.300000e-15  2.500000e-05
8.000000e-15  2.200000e-05
1.000000e-14  2.000000e-05
1.300000e-14  1.800000e-05
1.600000e-14  1.600000e-05
2.000000e-14  1.400000e-05
2.500000e-14  1.300000e-05
3.200000e-14  1.100000e-05
4.000000e-14  9.500000e-06
5.000000e-14  8.500000e-06
6.300000e-14  7.500000e-06
8.000000e-14  6.500000e-06
1.000000e-13  5.800000e-06
1.300000e-13  5.200000e-06
1.600000e-13  4.800000e-06
2.000000e-13  4.500000e-06
2.500000e-13  4.200000e-06
3.200000e-13  4.000000e-06
4.000000e-13  3.800000e-06
5.000000e-13  3.600000e-06
6.300000e-13  3.500000e-06
8.000000e-13  3.500000e-06
1.000000e-12  3.800000e-06
1.300000e-12  4.200000e-06
1.600000e-12  5.000000e-06
2.000000e-12  6.000000e-06
2.500000e-12  7.500000e-06
3.200000e-12  1.000000e-05
4.000000e-12  1.400000e-05
