# Gold-set points digitized directly from 2111.06883
# coupling_type=ScalarPhoton source=figure
# mass_eV    coupling
4.140000e-10  1.100000e+07
5.000000e-10  7.500000e+06
6.000000e-10  5.200000e+06
8.000000e-10  3.200000e+06
1.000000e-09  2.300000e+06
2.000000e-09  1.050000e+06
4.000000e-09  5.500000e+05
6.000000e-09  4.000000e+05
1.000000e-08  2.700000e+05
2.000000e-08  1.700000e+05
4.000000e-08  1.150000e+05
6.000000e-08  9.500000e+04
1.000000e-07  7.500000e+04
2.000000e-07  5.500000e+04
4.000000e-07  4.200000e+04
