# Gold-set points digitized directly from 2201.02042
# coupling_type=ScalarElectron source=figure
# mass_eV    coupling
8.300000e-11  1.000000e+09
1.000000e-10  6.300000e+08
1.500000e-10  3.500000e+08
2.000000e-10  2.500000e+08
3.000000e-10  1.600000e+08
4.000000e-10  1.200000e+08
5.000000e-10  9.500000e+07
7.000000e-10  6.500000e+07
1.000000e-09  4.500000e+07
2.000000e-09  2.200000e+07
3.000000e-09  1.500000e+07
5.000000e-09  9.000000e+06
7.000000e-09  6.500000e+06
1.000000e-08  4.500000e+06
2.000000e-08  2.200000e+06
3.000000e-08  1.500000e+06
5.000000e-08  9.500000e+05
7.000000e-08  6.800000e+05
1.000000e-07  4.800000e+05
2.000000e-07  2.500000e+05
3.000000e-07  1.800000e+05
4.100000e-07  1.500000e+05
