# Gold-set points digitized directly from 2310.06017
# coupling_type=VectorBL source=figure
# mass_eV    coupling
4.000000e-19  1.200000e-20
6.000000e-19  5.500000e-21
1.000000e-18  2.500000e-21
2.000000e-18  1.100000e-21
4.000000e-18  5.000000e-22
7.000000e-18  3.000000e-22
1.000000e-17  2.200000e-22
2.000000e-17  1.400000e-22
4.000000e-17  1.000000e-22
7.000000e-17  8.500000e-23
1.000000e-16  7.500000e-23
2.000000e-16  6.500000e-23
4.000000e-16  6.000000e-23
7.000000e-16  5.800000e-23
1.000000e-15  5.800000e-23
2.000000e-15  6.500000e-23
4.000000e-15  8.500000e-23
7.000000e-15  1.300000e-22
1.000000e-14  2.000000e-22
2.000000e-14  5.000000e-22
3.000000e-14  9.000000e-22
4.000000e-14  1.400000e-21
5.000000e-14  2.000000e-21
