# The Fermionic Axion Interferometer
# arXiv: https://arxiv.org/abs/2311.16364
# Coupling type: AxionElectron
# Extracted from: ancillary_file
# Confidence level: 0.95
# Extraction confidence: 0.72
# Corrections applied:
#   DM density: paper=0.4 GeV/cm³ → repo=0.45 GeV/cm³; data stored paper-native, plotting method applies sqrt(0.4/0.45)=0.9428 (chi ∝ 1/sqrt(rho))
# mass [eV]    g_ae
1.029509e-11   3.429758e-04
1.086029e-11   3.085816e-04
1.145652e-11   2.784305e-04
1.208548e-11   2.505091e-04
1.274897e-11   2.253876e-04
1.344889e-11   2.122669e-04
1.418723e-11   2.080654e-04
1.496611e-11   2.016303e-04
1.578775e-11   1.982045e-04
1.665449e-11   1.942813e-04
1.756882e-11   2.027853e-04
1.853335e-11   2.253876e-04
1.955083e-11   2.505091e-04
2.062417e-11   2.792269e-04
2.175643e-11   3.449405e-04
2.295085e-11   4.642394e-04
2.421085e-11   6.247982e-04
2.554003e-11   7.352593e-04
2.694217e-11   6.672186e-04
2.846736e-11   5.582758e-04
2.957171e-11   2.833778e-04
3.003021e-11   1.137449e-04
3.047114e-11   5.839502e-05
3.091855e-11   2.956350e-05
3.137252e-11   1.491488e-05
3.183316e-11   7.524607e-06
3.230056e-11   3.796189e-06
3.322874e-11   1.648253e-06
3.454618e-11   4.153219e-06
3.553931e-11   9.053819e-06
3.777994e-11   3.824378e-05
3.993482e-11   5.754878e-05
4.212723e-11   6.023959e-05
4.444001e-11   4.752606e-05
4.687976e-11   5.497818e-05
4.945346e-11   7.723135e-05
5.216844e-11   1.129177e-04
5.503248e-11   1.451824e-04
5.761664e-11   1.223962e-04
5.893218e-11   6.041188e-05
6.062190e-11   2.850406e-05
6.200606e-11   1.386066e-05
6.390659e-11   6.488019e-06
6.550260e-11   4.011012e-06
6.701540e-11   1.314523e-05
6.803944e-11   3.050702e-05
6.948715e-11   7.112623e-05
7.330199e-11   9.272074e-05
7.732626e-11   6.305620e-05
8.157146e-11   6.145603e-05
8.604972e-11   8.084244e-05
9.029397e-11   7.946891e-05
9.300607e-11   4.645248e-05
9.758912e-11   2.902158e-05
1.004673e-10   1.648347e-05
1.029968e-10   1.971968e-05
1.051883e-10   4.673637e-05
1.111984e-10   4.211675e-05
1.145367e-10   3.614382e-05
1.203226e-10   3.717582e-05
1.271929e-10   3.252589e-05
1.338967e-10   7.294346e-05
1.412476e-10   9.817121e-05
1.492807e-10   7.762258e-05
1.544693e-10   3.192330e-05
1.564204e-10   7.446219e-06
1.574070e-10   1.332757e-05
1.626651e-10   3.013657e-05
1.668568e-10   4.324913e-05
1.715479e-10   2.874933e-05
1.735390e-10   9.918302e-06
1.823237e-10   6.743801e-06
1.827151e-10   3.386453e-05
1.851390e-10   1.230948e-05
1.869469e-10   2.427505e-05
1.904377e-10   6.566891e-06
1.926529e-10   7.407785e-05
1.939393e-10   1.823013e-05
1.950733e-10   4.298045e-05
1.955903e-10   2.289673e-05
2.025729e-10   7.945270e-05
2.072469e-10   3.402587e-05
2.168036e-10   2.038903e-05
2.189146e-10   1.220446e-05
2.207604e-10   2.289673e-05
2.241263e-10   6.717311e-05
2.264104e-10   5.008086e-05
2.312903e-10   3.346369e-05
2.327674e-10   5.008604e-05
2.394450e-10   7.173647e-05
2.399196e-10   1.208239e-04
2.483450e-10   4.325136e-05
2.512056e-10   2.418721e-05
2.582778e-10   1.184874e-05
2.621952e-10   5.645443e-06
2.667276e-10   1.154311e-05
2.728960e-10   3.045804e-06
2.742251e-10   1.423962e-05
2.771005e-10   7.392430e-06
2.833707e-10   2.289673e-05
2.848004e-10   1.180451e-05
2.870385e-10   4.878674e-05
2.977716e-10   6.015362e-05
2.999497e-10   3.061370e-05
3.083613e-10   5.990697e-06
3.088226e-10   2.967300e-06
3.094411e-10   1.556569e-05
3.126592e-10   2.525029e-05
3.263931e-10   2.074349e-05
3.320236e-10   6.646426e-07
3.331131e-10   3.033506e-06
3.334141e-10   6.551040e-06
3.346000e-10   1.557631e-06
3.423747e-10   3.934602e-06
3.537206e-10   5.524816e-06
3.545451e-10   2.347031e-06
3.556953e-10   1.562154e-07
3.559835e-10   9.338881e-07
3.572831e-10   3.955455e-07
3.651808e-10   6.776475e-06
3.663656e-10   2.696372e-06
