# Dark Matter Direct Detection in Materials with Spin-Orbit Coupling
# arXiv: https://arxiv.org/abs/2202.11716
# Coupling type: DM-electron coupling (g_e or σ_e)
# Extracted from: figure_vision
# Confidence level: 0.95
# Extraction confidence: 0.75
# mass [eV]    coupling
1.000000e+00   1.000000e-40
1.000000e+00   1.000000e-37
1.000000e+00   1.000000e-15
2.000000e+00   9.500000e-41
2.000000e+00   5.000000e-38
2.000000e+00   5.000000e-16
5.000000e+00   8.000000e-41
5.000000e+00   2.000000e-38
5.000000e+00   2.000000e-16
1.000000e+01   7.500000e-41
1.000000e+01   1.200000e-38
1.000000e+01   1.200000e-16
2.000000e+01   7.000000e-41
2.000000e+01   1.000000e-38
2.000000e+01   1.000000e-16
5.000000e+01   7.200000e-41
5.000000e+01   1.100000e-38
5.000000e+01   1.100000e-16
1.000000e+02   8.000000e-41
1.000000e+02   1.500000e-38
1.000000e+02   1.500000e-16
2.000000e+02   1.000000e-40
2.000000e+02   2.500000e-38
2.000000e+02   2.500000e-16
5.000000e+02   1.500000e-40
5.000000e+02   5.000000e-38
5.000000e+02   5.000000e-16
1.000000e+03   2.500000e-40
1.000000e+03   1.000000e-37
1.000000e+03   1.000000e-15
