# Detecting Ultralight Bosonic Dark Matter via Absorption in Superconductors
# arXiv: https://arxiv.org/abs/1604.06800
# Coupling type: electron coupling (κ for hidden photon, g_aec for pseudoscalar, d_scc for scalar)
# Extracted from: figure_vision
# Confidence level: 0.95
# Extraction confidence: 0.75
# mass [eV]    coupling
1.000000e-04   1.000000e-08
2.000000e-04   8.000000e-09
5.000000e-04   6.000000e-09
1.000000e-03   4.000000e-09
2.000000e-03   3.000000e-09
5.000000e-03   2.000000e-09
1.000000e-02   1.500000e-09
2.000000e-02   1.200000e-09
5.000000e-02   1.000000e-09
1.000000e-01   8.000000e-10
2.000000e-01   6.000000e-10
5.000000e-01   4.000000e-10
1.000000e+00   2.500000e-10
2.000000e+00   2.000000e-10
5.000000e+00   1.500000e-10
1.000000e+01   1.200000e-10
2.000000e+01   1.000000e-10
5.000000e+01   8.000000e-11
1.000000e+02   6.000000e-11
2.000000e+02   5.000000e-11
5.000000e+02   4.000000e-11
1.000000e+03   3.000000e-11
2.000000e+03   2.500000e-11
5.000000e+03   2.000000e-11
1.000000e+04   1.500000e-11
2.000000e+04   1.200000e-11
5.000000e+04   1.000000e-11
1.000000e+05   8.000000e-12
2.000000e+05   6.000000e-12
5.000000e+05   4.000000e-12
