# Spin Precession Experiments for Light Axionic Dark Matter
# arXiv: https://arxiv.org/abs/1709.07852
# Coupling type: g_aee (electron coupling)
# Extracted from: figure_vision
# Confidence level: 0.9
# Extraction confidence: 0.85
# mass [eV]    coupling
-2.200000e+01   -7.000000e+00
-2.150000e+01   -7.000000e+00
-2.100000e+01   -6.950000e+00
-2.050000e+01   -6.900000e+00
-2.000000e+01   -6.850000e+00
-1.950000e+01   -6.800000e+00
-1.900000e+01   -6.750000e+00
-1.850000e+01   -6.700000e+00
-1.800000e+01   -6.650000e+00
-1.750000e+01   -6.550000e+00
-1.700000e+01   -6.400000e+00
-1.650000e+01   -6.200000e+00
-1.600000e+01   -6.050000e+00
-1.550000e+01   -5.950000e+00
-1.500000e+01   -5.850000e+00
-1.450000e+01   -5.700000e+00
-1.400000e+01   -5.600000e+00
-1.350000e+01   -5.500000e+00
-1.300000e+01   -5.450000e+00
-1.250000e+01   -5.550000e+00
-1.200000e+01   -5.700000e+00
-1.150000e+01   -5.950000e+00
-1.100000e+01   -6.300000e+00
-1.050000e+01   -6.800000e+00
-1.000000e+01   -7.300000e+00
