# Axion search with a quantum-limited ferromagnetic haloscope
# arXiv: https://arxiv.org/abs/2001.08940
# Coupling type: AxionElectron
# Extracted from: figure_vision
# Confidence level: 0.95
# Extraction confidence: 0.85
# Corrections applied:
#   DM density: paper=0.3 GeV/cm³ → repo=0.45 GeV/cm³; factor=sqrt(0.45/0.3)=1.2247
# mass [eV]    g_ae
4.240000e-05   1.000000e+00
4.240000e-05   2.082066e-11
4.250000e-05   2.082066e-11
4.260000e-05   2.082066e-11
4.270000e-05   2.082066e-11
4.280000e-05   2.082066e-11
4.290000e-05   2.204541e-11
4.300000e-05   2.204541e-11
4.310000e-05   2.204541e-11
4.320000e-05   2.204541e-11
4.330000e-05   2.204541e-11
4.340000e-05   2.327015e-11
4.350000e-05   2.327015e-11
4.360000e-05   2.327015e-11
4.370000e-05   2.449490e-11
4.380000e-05   2.449490e-11
4.390000e-05   2.571964e-11
4.400000e-05   2.571964e-11
4.410000e-05   2.694439e-11
4.420000e-05   2.694439e-11
4.430000e-05   2.816913e-11
4.440000e-05   2.939388e-11
4.450000e-05   3.061862e-11
4.460000e-05   3.184337e-11
4.470000e-05   3.306811e-11
4.480000e-05   3.429286e-11
4.490000e-05   3.551760e-11
4.500000e-05   3.674235e-11
4.510000e-05   3.919184e-11
4.520000e-05   4.164133e-11
4.530000e-05   4.409082e-11
4.530000e-05   1.000000e+00
