# Axion search with a quantum-limited ferromagnetic haloscope
# arXiv: https://arxiv.org/abs/2001.08940
# Coupling type: AxionElectron
# Extracted from: figure_vision
# Confidence level: 0.95
# Extraction confidence: 0.85
# Corrections applied:
#   DM density: paper=0.3 GeV/cm³ → repo=0.45 GeV/cm³; factor=sqrt(0.45/0.3)=1.2247
# mass [eV]    g_ae
4.240000e-05   1.000000e+00
4.240000e-05   3.932792e-11
4.250000e-05   3.817122e-11
4.260000e-05   3.701451e-11
4.270000e-05   3.470110e-11
4.280000e-05   3.238770e-11
4.290000e-05   3.007429e-11
4.300000e-05   2.891759e-11
4.310000e-05   2.776088e-11
4.320000e-05   2.660418e-11
4.330000e-05   2.544748e-11
4.340000e-05   2.429077e-11
4.350000e-05   2.313407e-11
4.360000e-05   2.267139e-11
4.370000e-05   2.220871e-11
4.380000e-05   2.174603e-11
4.390000e-05   2.128334e-11
4.400000e-05   2.082066e-11
4.410000e-05   2.035798e-11
4.420000e-05   1.989530e-11
4.430000e-05   1.943262e-11
4.440000e-05   1.896994e-11
4.450000e-05   1.850726e-11
4.460000e-05   1.827592e-11
4.470000e-05   1.804457e-11
4.480000e-05   1.781323e-11
4.490000e-05   1.758189e-11
4.500000e-05   1.735055e-11
4.510000e-05   1.711921e-11
4.520000e-05   1.688787e-11
4.530000e-05   1.665653e-11
4.540000e-05   1.642519e-11
4.550000e-05   1.619385e-11
4.550000e-05   1.000000e+00
