# Axion search with a quantum-limited ferromagnetic haloscope
# arXiv: https://arxiv.org/abs/2001.08940
# Coupling type: AxionElectron
# Extracted from: figure_vision
# Confidence level: 0.95
# Extraction confidence: 0.82
# Corrections applied:
#   DM density: paper=0.3 GeV/cm³ → repo=0.45 GeV/cm³; factor=sqrt(0.45/0.3)=1.2247
# mass [eV]    g_ae
4.150000e-05   1.000000e+00
4.150000e-05   2.437242e-11
4.160000e-05   2.424995e-11
4.170000e-05   2.412747e-11
4.180000e-05   2.388252e-11
4.190000e-05   2.351510e-11
4.200000e-05   2.327015e-11
4.210000e-05   2.302520e-11
4.220000e-05   2.265778e-11
4.230000e-05   2.204541e-11
4.240000e-05   2.082066e-11
4.250000e-05   2.020829e-11
4.260000e-05   1.898355e-11
4.270000e-05   1.592168e-11
4.280000e-05   1.469694e-11
4.290000e-05   1.530931e-11
4.300000e-05   1.653406e-11
4.310000e-05   1.837117e-11
4.320000e-05   1.959592e-11
4.330000e-05   2.143304e-11
4.340000e-05   2.265778e-11
4.350000e-05   2.388252e-11
4.360000e-05   2.449490e-11
4.370000e-05   2.510727e-11
4.380000e-05   2.547469e-11
4.390000e-05   2.571964e-11
4.390000e-05   1.000000e+00
