# Axion search with a quantum-limited ferromagnetic haloscope
# arXiv: https://arxiv.org/abs/2001.08940
# Coupling type: AxionElectron
# Extracted from: figure_vision
# Confidence level: 0.95
# Extraction confidence: 0.85
# Corrections applied:
#   DM density: paper=0.3 GeV/cm³ → repo=0.45 GeV/cm³; factor=sqrt(0.45/0.3)=1.2247
# mass [eV]    coupling
4.240000e+01   2.082066e-11
4.250000e+01   1.837117e-11
4.260000e+01   1.469694e-11
4.270000e+01   9.797959e-12
4.280000e+01   7.348469e-12
4.290000e+01   6.123724e-12
4.300000e+01   5.511352e-12
4.310000e+01   4.898979e-12
4.320000e+01   4.654031e-12
4.330000e+01   4.286607e-12
4.340000e+01   3.919184e-12
4.350000e+01   3.674235e-12
4.360000e+01   3.429286e-12
4.370000e+01   3.061862e-12
4.380000e+01   2.816913e-12
4.390000e+01   2.571964e-12
4.400000e+01   2.449490e-12
4.410000e+01   2.327015e-12
4.420000e+01   2.204541e-12
4.430000e+01   2.082066e-12
4.440000e+01   1.959592e-12
4.450000e+01   1.898355e-12
4.460000e+01   1.837117e-12
4.470000e+01   1.775880e-12
4.480000e+01   1.714643e-12
4.490000e+01   1.690148e-12
4.500000e+01   1.653406e-12
