# Axion search with a quantum-limited ferromagnetic haloscope
# arXiv: https://arxiv.org/abs/2001.08940
# Coupling type: AxionElectron
# Extracted from: figure_vision
# Confidence level: 0.95
# Extraction confidence: 0.75
# Corrections applied:
#   DM density: paper=0.3 GeV/cm³ → repo=0.45 GeV/cm³; factor=sqrt(0.45/0.3)=1.2247
# mass [eV]    g_ae
4.240000e-05   1.000000e+00
4.240000e-05   2.082066e-11
4.250000e-05   2.020829e-11
4.260000e-05   1.959592e-11
4.270000e-05   1.898355e-11
4.280000e-05   1.837117e-11
4.290000e-05   1.861612e-11
4.300000e-05   1.935097e-11
4.310000e-05   2.082066e-11
4.320000e-05   2.265778e-11
4.330000e-05   2.449490e-11
4.340000e-05   2.633201e-11
4.350000e-05   2.816913e-11
4.360000e-05   3.000625e-11
4.370000e-05   3.184337e-11
4.380000e-05   3.368048e-11
4.390000e-05   3.551760e-11
4.400000e-05   3.735472e-11
4.410000e-05   3.919184e-11
4.420000e-05   4.102895e-11
4.430000e-05   4.286607e-11
4.440000e-05   4.531556e-11
4.450000e-05   4.898979e-11
4.460000e-05   5.266403e-11
4.470000e-05   5.633826e-11
4.480000e-05   6.001250e-11
4.490000e-05   6.368673e-11
4.500000e-05   6.736097e-11
4.510000e-05   7.348469e-11
4.520000e-05   7.960842e-11
4.530000e-05   8.573214e-11
4.540000e-05   9.185587e-11
4.550000e-05   9.797959e-11
4.560000e-05   1.041033e-10
4.570000e-05   1.102270e-10
4.580000e-05   1.163508e-10
4.590000e-05   1.224745e-10
4.600000e-05   1.285982e-10
4.610000e-05   1.347219e-10
4.620000e-05   1.469694e-10
4.630000e-05   1.592168e-10
4.630000e-05   1.000000e+00
