# First Experimental Bounds on Transverse Plasmon Solar Axions with ANAIS-112
# arXiv: https://arxiv.org/abs/2607.27346
# Coupling type: AxionPhoton
# Extracted from: figure_vision
# Confidence level: 0.9
# Extraction confidence: 0.85
# mass [eV]    g_agamma [GeV^-1]
1.000000e-01   3.600000e-09
2.000000e-01   3.600000e-09
5.000000e-01   3.600000e-09
1.000000e+00   3.600000e-09
2.000000e+00   3.600000e-09
5.000000e+00   3.600000e-09
1.000000e+01   3.600000e-09
1.500000e+01   3.600000e-09
2.000000e+01   3.600000e-09
2.500000e+01   3.600000e-09
3.000000e+01   3.600000e-09
3.500000e+01   3.550000e-09
4.000000e+01   3.400000e-09
4.500000e+01   3.200000e-09
5.000000e+01   3.050000e-09
6.000000e+01   2.750000e-09
7.000000e+01   2.500000e-09
8.000000e+01   2.250000e-09
9.000000e+01   2.050000e-09
1.000000e+02   1.850000e-09
1.100000e+02   1.680000e-09
1.200000e+02   1.550000e-09
1.300000e+02   1.450000e-09
1.400000e+02   1.360000e-09
1.500000e+02   1.320000e-09
1.600000e+02   1.340000e-09
1.700000e+02   1.400000e-09
1.800000e+02   1.500000e-09
1.900000e+02   1.620000e-09
2.000000e+02   1.750000e-09
2.150000e+02   1.980000e-09
2.300000e+02   2.250000e-09
2.450000e+02   2.550000e-09
2.600000e+02   2.900000e-09
2.750000e+02   3.300000e-09
2.850000e+02   3.500000e-09
3.000000e+02   3.300000e-09
3.150000e+02   2.950000e-09
3.300000e+02   3.200000e-09
3.500000e+02   3.500000e-09
3.800000e+02   3.600000e-09
4.500000e+02   3.600000e-09
5.000000e+02   3.600000e-09
