# Small-instanton effects in an atlas of KSVZ axion models
# arXiv: https://arxiv.org/abs/2608.08602
# Coupling type: AxionPhoton
# Extracted from: figure_vision
# Confidence level: 0.95
# Extraction confidence: 0.55
# mass [eV]    g_agamma [GeV^-1]
1.000000e-06   1.000000e-12
1.800000e-06   1.000000e-12
1.900000e-06   5.000000e-16
2.500000e-06   3.500000e-16
3.200000e-06   3.000000e-16
4.000000e-06   3.500000e-16
4.200000e-06   2.000000e-14
6.000000e-06   2.500000e-14
8.000000e-06   2.000000e-14
9.500000e-06   8.000000e-15
1.050000e-05   6.000000e-15
1.200000e-05   7.000000e-15
1.350000e-05   2.000000e-14
1.800000e-05   2.500000e-14
2.500000e-05   3.000000e-14
3.300000e-05   1.200000e-13
3.500000e-05   9.000000e-14
3.700000e-05   3.000000e-13
5.000000e-05   8.000000e-13
7.000000e-05   1.000000e-12
1.100000e-04   1.000000e-12
1.000000e-03   1.000000e-12
1.000000e-02   1.000000e-12
1.000000e-01   1.000000e-12
3.000000e-01   1.000000e-12
6.000000e-01   6.000000e-13
1.000000e+00   4.000000e-13
2.000000e+00   2.500000e-13
3.000000e+00   1.800000e-13
5.000000e+00   2.000000e-13
8.000000e+00   2.500000e-13
1.200000e+01   1.800000e-13
2.000000e+01   1.000000e-13
3.000000e+01   6.000000e-14
5.000000e+01   3.500000e-14
7.000000e+01   2.200000e-14
1.000000e+02   1.400000e-14
1.500000e+02   9.000000e-15
2.000000e+02   6.000000e-15
3.000000e+02   3.500000e-15
5.000000e+02   1.500000e-15
7.000000e+02   7.000000e-16
1.000000e+03   3.000000e-16
1.300000e+03   1.500000e-16
1.600000e+03   1.000000e-16
1.000000e+04   1.000000e-16
