# A Bandpass Axion Or: How I Learned To Stop Worrying About Stars And Love The Lab
# arXiv: https://arxiv.org/abs/2605.30416
# Coupling type: AxionPhoton
# Extracted from: figure_vision
# Confidence level: 0.95
# Extraction confidence: 0.75
# mass [eV]    g_agamma [GeV^-1]
1.000000e-20   1.000000e-12
3.000000e-20   1.000000e-12
1.000000e-19   1.000000e-12
5.000000e-19   1.200000e-12
1.000000e-18   1.500000e-12
3.000000e-18   2.000000e-12
1.000000e-17   2.500000e-12
3.000000e-17   3.000000e-12
1.000000e-16   3.500000e-12
3.000000e-16   4.000000e-12
1.000000e-15   4.500000e-12
3.000000e-15   5.000000e-12
1.000000e-14   5.500000e-12
3.000000e-14   6.000000e-12
1.000000e-13   6.500000e-12
3.000000e-13   7.000000e-12
1.000000e-12   8.000000e-12
3.000000e-12   1.000000e-11
1.000000e-11   1.300000e-11
3.000000e-11   1.800000e-11
1.000000e-10   2.500000e-11
3.000000e-10   3.500000e-11
1.000000e-09   5.000000e-11
3.000000e-09   7.000000e-11
1.000000e-08   1.000000e-10
3.000000e-08   1.500000e-10
1.000000e-07   2.500000e-10
3.000000e-07   4.000000e-10
1.000000e-06   6.000000e-10
3.000000e-06   1.000000e-09
1.000000e-05   1.500000e-09
3.000000e-05   2.500000e-09
1.000000e-04   4.000000e-09
3.000000e-04   6.000000e-09
1.000000e-03   1.000000e-08
3.000000e-03   1.500000e-08
1.000000e-02   2.500000e-08
3.000000e-02   4.000000e-08
1.000000e-01   7.000000e-08
3.000000e-01   1.200000e-07
1.000000e+00   2.000000e-07
