# A Bandpass Axion Or: How I Learned To Stop Worrying About Stars And Love The Lab
# arXiv: https://arxiv.org/abs/2605.30416
# Coupling type: AxionPhoton
# Extracted from: figure_vision
# Confidence level: 0.95
# Extraction confidence: 0.60
# mass [eV]    g_agamma [GeV^-1]
1.000000e-20   3.000000e-09
1.000000e-18   3.000000e-09
1.000000e-16   3.000000e-09
1.000000e-14   3.000000e-09
1.000000e-12   3.000000e-09
1.000000e-11   3.000000e-09
1.000000e-10   3.000000e-09
3.000000e-10   2.000000e-09
6.000000e-10   8.000000e-10
1.000000e-09   3.000000e-10
2.000000e-09   1.000000e-10
4.000000e-09   4.000000e-11
7.000000e-09   1.500000e-11
1.000000e-08   8.000000e-12
2.000000e-08   5.000000e-12
4.000000e-08   4.000000e-12
7.000000e-08   4.000000e-12
1.000000e-07   5.000000e-12
2.000000e-07   1.000000e-11
4.000000e-07   3.000000e-11
7.000000e-07   8.000000e-11
1.000000e-06   1.500000e-10
2.000000e-06   4.000000e-10
4.000000e-06   1.000000e-09
7.000000e-06   2.000000e-09
1.000000e-05   3.000000e-09
3.000000e-05   3.000000e-09
7.000000e-05   3.000000e-09
1.000000e-04   3.000000e-09
3.000000e-04   1.000000e-08
1.000000e-03   5.000000e-08
3.000000e-03   2.000000e-07
1.000000e-02   8.000000e-07
3.000000e-02   3.000000e-06
1.000000e-01   1.000000e-05
3.000000e-01   4.000000e-05
1.000000e+00   1.000000e-04
