# Search for axion-like particles decaying to two photons at Belle II
# arXiv: https://arxiv.org/abs/2607.07800
# Coupling type: AxionPhoton
# Extracted from: figure_vector
# Confidence level: 0.95
# Extraction confidence: 0.92
# mass [eV]    g_agamma [GeV^-1]
1.760860e+08   1.273190e-04
1.911860e+08   2.534640e-04
2.163520e+08   2.193000e-04
2.213860e+08   2.309230e-04
2.314530e+08   2.271060e-04
2.364870e+08   2.125790e-04
2.415200e+08   2.186760e-04
2.717230e+08   9.400330e-05
2.868250e+08   7.864780e-05
2.968930e+08   7.926080e-05
3.069620e+08   8.677480e-05
3.321330e+08   1.516640e-04
3.422020e+08   1.470290e-04
3.472360e+08   1.550480e-04
3.573050e+08   1.399190e-04
3.824780e+08   2.158660e-04
4.177210e+08   1.403010e-04
4.378600e+08   1.353720e-04
4.479300e+08   1.468790e-04
6.392730e+08   1.620550e-04
6.493440e+08   1.440840e-04
6.644510e+08   1.548190e-04
6.795590e+08   1.371620e-04
6.997020e+08   1.670780e-04
7.198450e+08   1.339530e-04
8.205660e+08   1.237210e-04
8.457470e+08   1.427730e-04
8.658930e+08   1.350620e-04
9.011470e+08   2.541250e-04
9.414380e+08   1.547250e-04
1.037130e+09   2.560890e-04
1.122760e+09   1.459630e-04
1.168090e+09   2.144290e-04
1.213420e+09   1.696150e-04
1.278900e+09   2.367080e-04
1.394760e+09   1.612790e-04
1.560990e+09   2.745540e-04
1.596250e+09   1.582200e-04
1.686930e+09   2.719860e-04
1.722190e+09   1.702880e-04
1.752420e+09   2.622810e-04
1.878360e+09   1.647720e-04
1.913630e+09   2.843640e-04
1.979120e+09   1.878740e-04
2.024460e+09   3.140220e-04
2.064770e+09   1.858080e-04
2.110110e+09   2.246060e-04
2.135300e+09   1.786820e-04
2.180640e+09   2.359230e-04
2.225990e+09   1.621450e-04
2.276370e+09   3.088080e-04
2.397290e+09   1.685050e-04
2.538360e+09   3.151040e-04
2.608900e+09   1.631020e-04
2.684480e+09   3.384880e-04
2.734870e+09   1.982530e-04
2.775180e+09   3.464000e-04
2.825560e+09   2.026750e-04
2.946490e+09   2.881920e-04
2.976720e+09   1.966460e-04
3.158120e+09   2.936570e-04
3.248820e+09   1.998460e-04
3.399990e+09   3.814530e-04
3.510860e+09   1.999210e-04
3.606600e+09   3.548910e-04
3.722500e+09   2.044900e-04
3.777930e+09   3.742970e-04
3.893840e+09   2.055370e-04
3.959350e+09   3.866160e-04
4.171000e+09   2.422700e-04
4.377620e+09   3.791820e-04
4.448180e+09   2.591570e-04
4.483450e+09   3.555630e-04
4.594330e+09   2.239380e-04
4.674960e+09   4.365040e-04
4.730400e+09   2.318390e-04
4.785840e+09   4.150440e-04
4.851350e+09   2.420640e-04
5.138620e+09   4.230810e-04
5.471260e+09   2.604510e-04
5.546860e+09   4.743900e-04
5.647660e+09   2.357450e-04
5.788790e+09   4.831970e-04
5.914790e+09   2.800290e-04
6.262570e+09   5.664540e-04
6.474260e+09   3.403810e-04
6.524660e+09   6.361650e-04
6.559950e+09   3.657120e-04
6.822050e+09   5.873620e-04
6.867410e+09   3.744250e-04
7.058950e+09   7.422310e-04
7.174890e+09   3.436490e-04
7.346260e+09   7.924180e-04
7.411790e+09   4.890510e-04
7.653740e+09   8.184310e-04
7.820090e+09   4.710250e-04
8.354410e+09   1.396630e-03
8.450190e+09   8.154690e-04
8.873630e+09   1.872590e-03
9.095440e+09   1.326320e-03
9.861690e+09   7.329000e-03
