# First Results from Axion Haloscope at CAPP around 10.7 $μ$eV
# arXiv: https://arxiv.org/abs/2012.10764
# Coupling type: AxionPhoton
# Extracted from: figure_vision
# Confidence level: 0.9
# Extraction confidence: 0.75
# mass [eV]    g_agamma [GeV^-1]
1.071200e-05   1.000000e+00
1.071200e-05   2.144563e-14
1.071300e-05   1.979597e-14
1.071400e-05   1.814630e-14
1.071500e-05   1.649664e-14
1.071600e-05   1.484698e-14
1.071700e-05   1.402214e-14
1.071800e-05   1.319731e-14
1.072000e-05   1.237248e-14
1.072200e-05   1.154765e-14
1.072400e-05   1.121772e-14
1.072600e-05   1.072282e-14
1.072800e-05   1.022792e-14
1.073000e-05   9.897984e-15
1.073200e-05   9.568051e-15
1.073400e-05   9.238118e-15
1.073600e-05   9.073152e-15
1.073800e-05   8.908186e-15
1.074000e-05   8.743219e-15
1.074200e-05   8.578253e-15
1.074400e-05   8.413286e-15
1.074600e-05   8.248320e-15
1.074800e-05   8.083354e-15
1.075000e-05   7.918387e-15
1.075200e-05   7.753421e-15
1.075400e-05   7.588454e-15
1.075600e-05   7.423488e-15
1.075800e-05   7.258522e-15
1.076000e-05   7.093555e-15
1.076200e-05   6.928589e-15
1.076500e-05   6.763622e-15
1.076800e-05   6.598656e-15
1.077000e-05   6.433690e-15
1.077200e-05   6.268723e-15
1.077400e-05   6.103757e-15
1.077600e-05   5.938790e-15
1.077800e-05   5.773824e-15
1.078000e-05   5.608858e-15
1.078200e-05   5.443891e-15
1.078400e-05   5.278925e-15
1.078600e-05   5.113958e-15
1.078600e-05   1.000000e+00
