# First Results from Axion Haloscope at CAPP around 10.7 $μ$eV
# arXiv: https://arxiv.org/abs/2012.10764
# Coupling type: AxionPhoton
# Extracted from: figure_vision
# Confidence level: 0.9
# Extraction confidence: 0.85
# mass [eV]    coupling
1.016000e+01   9.000000e+00
1.025000e+01   8.800000e+00
1.034000e+01   8.500000e+00
1.043000e+01   8.200000e+00
1.052000e+01   7.900000e+00
1.061000e+01   7.500000e+00
1.070000e+01   7.200000e+00
1.071260e+01   2.000000e+00
1.071350e+01   1.800000e+00
1.071450e+01   1.500000e+00
1.071550e+01   1.200000e+00
1.071650e+01   1.000000e+00
1.071750e+01   8.000000e-01
1.071860e+01   6.000000e-01
1.077000e+01   6.800000e+00
1.086000e+01   6.500000e+00
1.095000e+01   6.200000e+00
1.104000e+01   5.800000e+00
1.113000e+01   5.500000e+00
1.122000e+01   5.100000e+00
1.131000e+01   4.800000e+00
1.137000e+01   4.500000e+00
