# First Results from Axion Haloscope at CAPP around 10.7 $μ$eV
# arXiv: https://arxiv.org/abs/2012.10764
# Coupling type: AxionPhoton
# Extracted from: figure_vision
# Confidence level: 0.9
# Extraction confidence: 0.72
# mass [eV]    g_agamma [GeV^-1]
1.071200e-05   6.480823e-15
1.071400e-05   6.127323e-15
1.071600e-05   5.773824e-15
1.071800e-05   5.420325e-15
1.072000e-05   5.184658e-15
1.072200e-05   4.948992e-15
1.072400e-05   4.713326e-15
1.072600e-05   4.477659e-15
1.072800e-05   4.241993e-15
1.073000e-05   4.124160e-15
1.073200e-05   3.888494e-15
1.073400e-05   3.770661e-15
1.073600e-05   3.652827e-15
1.073800e-05   3.534994e-15
1.074000e-05   3.417161e-15
1.074200e-05   3.299328e-15
1.074400e-05   3.181495e-15
1.074600e-05   3.063662e-15
1.074800e-05   2.945829e-15
1.075000e-05   2.827995e-15
1.075200e-05   2.710162e-15
1.075400e-05   2.592329e-15
1.075600e-05   2.474496e-15
1.075800e-05   2.356663e-15
1.076000e-05   2.238830e-15
1.076200e-05   2.120997e-15
1.076400e-05   2.003163e-15
1.076600e-05   1.885330e-15
1.076800e-05   1.767497e-15
1.077000e-05   1.649664e-15
1.077200e-05   1.531831e-15
1.077400e-05   1.413998e-15
1.077600e-05   1.296165e-15
1.077800e-05   1.178331e-15
1.078000e-05   1.060498e-15
1.078200e-05   9.426651e-16
1.078400e-05   8.248320e-16
1.078600e-05   7.069989e-16
