# First Results from Axion Haloscope at CAPP around 10.7 $μ$eV
# arXiv: https://arxiv.org/abs/2012.10764
# Coupling type: AxionPhoton
# Extracted from: figure_vision
# Confidence level: 0.9
# Extraction confidence: 0.70
# mass [eV]    g_agamma [GeV^-1]
1.071260e-05   2.000000e-16
1.071265e-05   1.900000e-16
1.071270e-05   1.800000e-16
1.071275e-05   1.700000e-16
1.071280e-05   1.600000e-16
1.071285e-05   1.500000e-16
1.071290e-05   1.450000e-16
1.071295e-05   1.400000e-16
1.071300e-05   1.350000e-16
1.071305e-05   1.300000e-16
1.071310e-05   1.250000e-16
1.071315e-05   1.200000e-16
1.071320e-05   1.150000e-16
1.071325e-05   1.100000e-16
1.071330e-05   1.050000e-16
1.071335e-05   1.000000e-16
1.071340e-05   9.500000e-17
1.071345e-05   9.000000e-17
1.071350e-05   8.500000e-17
1.071355e-05   8.000000e-17
1.071360e-05   7.500000e-17
1.071365e-05   7.000000e-17
1.071370e-05   6.500000e-17
1.071375e-05   6.000000e-17
1.071380e-05   5.500000e-17
1.071385e-05   5.000000e-17
1.071390e-05   4.500000e-17
1.071395e-05   4.000000e-17
1.071400e-05   3.500000e-17
1.071405e-05   3.000000e-17
1.071410e-05   2.500000e-17
1.071415e-05   2.000000e-17
1.071420e-05   1.800000e-17
1.071425e-05   1.600000e-17
1.071430e-05   1.500000e-17
1.071435e-05   1.400000e-17
1.071440e-05   1.300000e-17
1.071445e-05   1.200000e-17
1.071450e-05   1.150000e-17
1.071455e-05   1.100000e-17
1.071460e-05   1.050000e-17
1.071465e-05   1.000000e-17
1.071470e-05   9.500000e-18
1.071475e-05   9.000000e-18
1.071480e-05   8.500000e-18
1.071485e-05   8.000000e-18
1.071486e-05   7.500000e-18
