# First Results from Axion Haloscope at CAPP around 10.7 $μ$eV
# arXiv: https://arxiv.org/abs/2012.10764
# Coupling type: AxionPhoton
# Extracted from: figure_vision
# Confidence level: 0.9
# Extraction confidence: 0.45
# mass [eV]    g_agamma [GeV^-1]
1.071300e-05   1.000000e+00
1.071300e-05   6.860160e-15
1.071400e-05   6.707712e-15
1.071500e-05   6.555264e-15
1.071600e-05   6.402816e-15
1.071700e-05   6.250368e-15
1.071800e-05   6.097920e-15
1.071900e-05   5.945472e-15
1.072000e-05   5.793024e-15
1.072100e-05   5.640576e-15
1.072200e-05   5.488128e-15
1.072300e-05   5.335680e-15
1.072400e-05   5.183232e-15
1.072500e-05   5.030784e-15
1.072600e-05   4.878336e-15
1.072700e-05   4.725888e-15
1.072800e-05   4.573440e-15
1.072900e-05   4.420992e-15
1.073000e-05   4.268544e-15
1.073100e-05   4.116096e-15
1.073200e-05   3.963648e-15
1.073300e-05   3.811200e-15
1.073400e-05   3.658752e-15
1.073500e-05   3.506304e-15
1.073600e-05   3.353856e-15
1.073700e-05   3.201408e-15
1.073800e-05   3.048960e-15
1.073900e-05   2.896512e-15
1.074000e-05   2.744064e-15
1.074100e-05   2.591616e-15
1.074200e-05   2.439168e-15
1.074200e-05   1.000000e+00
