# First Results from Axion Haloscope at CAPP around 10.7 $μ$eV
# arXiv: https://arxiv.org/abs/2012.10764
# Coupling type: AxionPhoton
# Extracted from: figure_vision
# Confidence level: 0.9
# Extraction confidence: 0.75
# mass [eV]    g_agamma [GeV^-1]
1.016000e-05   1.000000e+00
1.016000e-05   3.085632e-14
1.050000e-05   2.879923e-14
1.071260e-05   4.731302e-15
1.071300e-05   4.525594e-15
1.071350e-05   4.319885e-15
1.071400e-05   4.114176e-15
1.071450e-05   3.908467e-15
1.071500e-05   3.702758e-15
1.071550e-05   3.497050e-15
1.071600e-05   3.291341e-15
1.071650e-05   3.085632e-15
1.071700e-05   2.879923e-15
1.071750e-05   2.674214e-15
1.071800e-05   2.468506e-15
1.071850e-05   2.262797e-15
1.100000e-05   2.674214e-14
1.150000e-05   2.468506e-14
1.200000e-05   2.262797e-14
1.250000e-05   2.057088e-14
1.300000e-05   1.851379e-14
1.350000e-05   1.645670e-14
1.370000e-05   1.542816e-14
1.370000e-05   1.000000e+00
