# A new upper limit on the axion-photon coupling with an extended CAST run with a Xe-based Micromegas detector
# arXiv: https://arxiv.org/abs/2406.16840
# Coupling type: AxionPhoton
# Extracted from: figure_vision
# Confidence level: 0.95
# Extraction confidence: 0.85
# mass [eV]    g_agamma [GeV^-1]
1.000000e-04   5.800000e-11
2.000000e-04   5.800000e-11
5.000000e-04   5.800000e-11
1.000000e-03   5.800000e-11
2.000000e-03   5.800000e-11
5.000000e-03   5.800000e-11
1.000000e-02   5.800000e-11
2.000000e-02   5.800000e-11
3.000000e-02   5.800000e-11
4.000000e-02   5.800000e-11
5.000000e-02   5.800000e-11
6.000000e-02   1.500000e-10
7.000000e-02   2.000000e-10
8.000000e-02   2.800000e-10
9.000000e-02   3.600000e-10
1.000000e-01   4.500000e-10
1.500000e-01   1.200000e-09
2.000000e-01   2.500000e-09
3.000000e-01   8.000000e-09
5.000000e-01   3.500000e-08
1.000000e+00   2.000000e-07
