# A new upper limit on the axion-photon coupling with an extended CAST run with a Xe-based Micromegas detector
# arXiv: https://arxiv.org/abs/2406.16840
# Coupling type: AxionPhoton
# Extracted from: figure_vision
# Confidence level: 0.95
# Extraction confidence: 0.85
# mass [eV]    coupling
1.000000e-04   5.800000e-11
1.500000e-04   5.800000e-11
2.000000e-04   5.800000e-11
3.000000e-04   5.800000e-11
5.000000e-04   5.800000e-11
7.000000e-04   5.800000e-11
1.000000e-03   5.800000e-11
1.500000e-03   5.800000e-11
2.000000e-03   5.800000e-11
3.000000e-03   5.750000e-11
5.000000e-03   5.600000e-11
7.000000e-03   5.400000e-11
1.000000e-02   5.100000e-11
1.200000e-02   4.800000e-11
1.500000e-02   4.400000e-11
1.800000e-02   4.000000e-11
2.000000e-02   3.600000e-11
2.500000e-02   3.000000e-11
3.000000e-02   2.400000e-11
3.500000e-02   1.800000e-11
4.000000e-02   1.400000e-11
4.500000e-02   1.100000e-11
5.000000e-02   9.000000e-12
5.500000e-02   7.500000e-12
6.000000e-02   6.500000e-12
6.500000e-02   6.000000e-12
7.000000e-02   5.700000e-12
8.000000e-02   5.400000e-12
9.000000e-02   5.200000e-12
1.000000e-01   5.100000e-12
