# A new upper limit on the axion-photon coupling with an extended CAST run with a Xe-based Micromegas detector
# arXiv: https://arxiv.org/abs/2406.16840
# Coupling type: AxionPhoton
# Extracted from: figure_vision
# Confidence level: 0.95
# Extraction confidence: 0.85
# mass [eV]    g_agamma [GeV^-1]
1.000000e-04   1.200000e-09
1.500000e-04   1.000000e-09
2.200000e-04   8.500000e-10
3.200000e-04   7.200000e-10
4.700000e-04   6.000000e-10
6.800000e-04   5.000000e-10
1.000000e-03   4.200000e-10
1.500000e-03   3.500000e-10
2.200000e-03   2.800000e-10
3.200000e-03   2.200000e-10
4.700000e-03   1.800000e-10
6.800000e-03   1.300000e-10
1.000000e-02   8.500000e-11
1.500000e-02   6.500000e-11
2.200000e-02   5.800000e-11
3.200000e-02   5.800000e-11
4.700000e-02   6.200000e-11
6.800000e-02   7.000000e-11
1.000000e-01   8.500000e-11
1.500000e-01   1.100000e-10
2.200000e-01   1.400000e-10
3.200000e-01   1.800000e-10
4.700000e-01   2.300000e-10
6.800000e-01   3.200000e-10
1.000000e+00   4.500000e-10
1.500000e+00   6.500000e-10
2.200000e+00   9.500000e-10
3.200000e+00   1.400000e-09
4.700000e+00   2.100000e-09
6.800000e+00   3.200000e-09
