# A new upper limit on the axion-photon coupling with an extended CAST run with a Xe-based Micromegas detector
# arXiv: https://arxiv.org/abs/2406.16840
# Coupling type: AxionPhoton
# Extracted from: figure_vision
# Confidence level: 0.95
# Extraction confidence: 0.82
# mass [eV]    g_agamma [GeV^-1]
1.000000e-04   3.500000e-10
2.000000e-04   3.400000e-10
4.000000e-04   3.200000e-10
6.000000e-04   3.000000e-10
8.000000e-04   2.800000e-10
1.000000e-03   2.500000e-10
1.500000e-03   2.000000e-10
2.000000e-03   1.500000e-10
3.000000e-03   8.000000e-11
4.000000e-03   6.000000e-11
5.000000e-03   5.000000e-11
6.000000e-03   5.500000e-11
7.000000e-03   6.000000e-11
8.000000e-03   7.000000e-11
9.000000e-03   8.000000e-11
1.000000e-02   1.000000e-10
1.200000e-02   1.500000e-10
1.500000e-02   2.500000e-10
2.000000e-02   5.000000e-10
3.000000e-02   1.200000e-09
4.000000e-02   2.000000e-09
5.000000e-02   3.000000e-09
6.000000e-02   4.000000e-09
