# One-loop proton decay from Peccei-Quinn symmetry
# arXiv: https://arxiv.org/abs/2607.02026
# Coupling type: AxionPhoton
# Extracted from: figure_vision
# Confidence level: 0.9
# Extraction confidence: 0.78
# mass [eV]    g_agamma [GeV^-1]
1.000000e-08   6.600000e-11
3.000000e-08   6.600000e-11
1.000000e-07   6.600000e-11
3.000000e-07   6.600000e-11
1.000000e-06   6.600000e-11
3.000000e-06   6.600000e-11
1.000000e-05   6.600000e-11
3.000000e-05   6.600000e-11
1.000000e-04   6.600000e-11
3.000000e-04   6.600000e-11
1.000000e-03   6.600000e-11
3.000000e-03   6.600000e-11
1.000000e-02   6.600000e-11
2.000000e-02   6.600000e-11
4.000000e-02   6.600000e-11
7.000000e-02   6.600000e-11
1.000000e-01   6.700000e-11
1.500000e-01   7.000000e-11
2.000000e-01   7.500000e-11
3.000000e-01   8.500000e-11
5.000000e-01   1.100000e-10
7.000000e-01   1.400000e-10
1.000000e+00   2.000000e-10
2.000000e+00   4.000000e-10
4.000000e+00   7.500000e-10
7.000000e+00   1.000000e-09
