# A new upper limit on the axion-photon coupling with an extended CAST run with a Xe-based Micromegas detector
# arXiv: https://arxiv.org/abs/2406.16840
# Coupling type: AxionPhoton
# Extracted from: figure_vision
# Confidence level: 0.95
# Extraction confidence: 0.75
# mass [eV]    g_agamma [GeV^-1]
1.000000e-04   1.000000e-09
1.500000e-04   1.000000e-09
2.000000e-04   1.000000e-09
3.000000e-04   1.000000e-09
5.000000e-04   1.000000e-09
7.000000e-04   1.000000e-09
1.000000e-03   1.000000e-09
1.500000e-03   1.000000e-09
2.000000e-03   1.000000e-09
3.000000e-03   1.200000e-09
5.000000e-03   1.500000e-09
7.000000e-03   2.000000e-09
1.000000e-02   3.000000e-09
1.500000e-02   5.000000e-09
2.000000e-02   8.000000e-09
3.000000e-02   1.200000e-08
5.000000e-02   2.000000e-08
7.000000e-02   3.500000e-08
1.000000e-01   6.000000e-08
1.500000e-01   1.000000e-07
2.000000e-01   1.500000e-07
3.000000e-01   2.500000e-07
5.000000e-01   4.000000e-07
7.000000e-01   6.000000e-07
1.000000e+00   9.000000e-07
1.500000e+00   1.300000e-06
2.000000e+00   1.800000e-06
3.000000e+00   2.800000e-06
5.000000e+00   4.500000e-06
1.000000e+01   8.000000e-06
