# Probing the Cosmic Axion Background via Axion-Photon Conversion in Filaments
# arXiv: https://arxiv.org/abs/2607.18372
# Coupling type: AxionPhoton
# Extracted from: figure_vision
# Confidence level: 0.95
# Extraction confidence: 0.60
# mass [eV]    g_agamma [GeV^-1]
1.000000e-20   2.000000e-19
1.000000e-18   2.000000e-19
1.000000e-16   2.000000e-19
1.000000e-14   2.000000e-19
1.000000e-12   2.000000e-19
1.000000e-11   2.000000e-19
1.000000e-10   2.000000e-19
3.000000e-10   2.000000e-19
1.000000e-09   2.100000e-19
1.500000e-09   2.200000e-19
2.000000e-09   2.400000e-19
3.000000e-09   3.500000e-19
4.000000e-09   6.000000e-19
5.000000e-09   1.000000e-18
7.000000e-09   2.000000e-18
1.000000e-08   4.000000e-18
1.500000e-08   9.000000e-18
2.000000e-08   1.600000e-17
3.000000e-08   3.600000e-17
5.000000e-08   1.000000e-16
7.000000e-08   2.000000e-16
1.000000e-07   4.000000e-16
1.500000e-07   9.000000e-16
2.000000e-07   1.600000e-15
3.000000e-07   3.600000e-15
5.000000e-07   1.000000e-14
7.000000e-07   2.000000e-14
1.000000e-06   4.000000e-14
1.500000e-06   9.000000e-14
2.000000e-06   1.600000e-13
3.000000e-06   3.600000e-13
4.000000e-06   6.400000e-13
5.000000e-06   1.000000e-12
