# First Limits on Axion Dark Matter from a DALI Prototype
# arXiv: https://arxiv.org/abs/2603.21951
# Coupling type: AxionPhoton
# Extracted from: figure_vision
# Confidence level: 0.9
# Extraction confidence: 0.75
# mass [eV]    g_agamma [GeV^-1]
2.845270e-05   1.000000e+00
2.845270e-05   1.500000e-11
2.847240e-05   1.530000e-11
2.849040e-05   1.560000e-11
2.850670e-05   1.590000e-11
2.851600e-05   3.660000e-11
2.852140e-05   1.630000e-11
2.852500e-05   3.500000e-11
2.853400e-05   3.350000e-11
2.853450e-05   1.670000e-11
2.854280e-05   3.220000e-11
2.854620e-05   1.710000e-11
2.855120e-05   3.100000e-11
2.855650e-05   1.750000e-11
2.855900e-05   2.980000e-11
2.856550e-05   1.790000e-11
2.856620e-05   2.880000e-11
2.857270e-05   2.780000e-11
2.857320e-05   1.840000e-11
2.857850e-05   2.680000e-11
2.857970e-05   1.890000e-11
2.858350e-05   2.590000e-11
2.858510e-05   1.940000e-11
2.858780e-05   2.500000e-11
2.858940e-05   1.990000e-11
2.859120e-05   2.420000e-11
2.859260e-05   2.040000e-11
2.859370e-05   2.350000e-11
2.859480e-05   2.100000e-11
2.859540e-05   2.280000e-11
2.859600e-05   2.160000e-11
2.859620e-05   2.220000e-11
2.859620e-05   1.000000e+00
