# Stringent axion constraints with Event Horizon Telescope polarimetric measurements of M87$^\star$
# arXiv: https://arxiv.org/abs/2105.04572
# Coupling type: AxionPhoton
# Extracted from: figure_vision
# Confidence level: 0.95
# Extraction confidence: 0.85
# mass [eV]    coupling
-2.100000e+01   6.000000e+00
-2.095000e+01   5.800000e+00
-2.090000e+01   5.600000e+00
-2.085000e+01   5.400000e+00
-2.080000e+01   5.200000e+00
-2.075000e+01   5.000000e+00
-2.070000e+01   4.800000e+00
-2.065000e+01   4.600000e+00
-2.060000e+01   4.400000e+00
-2.055000e+01   4.200000e+00
-2.050000e+01   4.000000e+00
-2.045000e+01   3.800000e+00
-2.040000e+01   3.600000e+00
-2.035000e+01   3.400000e+00
-2.030000e+01   3.200000e+00
-2.025000e+01   3.000000e+00
-2.020000e+01   2.800000e+00
-2.015000e+01   2.600000e+00
-2.010000e+01   2.400000e+00
-2.005000e+01   2.200000e+00
-2.000000e+01   2.000000e+00
-1.995000e+01   1.800000e+00
-1.990000e+01   1.600000e+00
-1.985000e+01   1.400000e+00
-1.980000e+01   1.200000e+00
-1.975000e+01   1.000000e+00
-1.970000e+01   8.000000e-01
-1.965000e+01   6.000000e-01
-1.960000e+01   4.000000e-01
-1.955000e+01   2.000000e-01
-1.950000e+01   0.000000e+00
