# 3D template-based $Fermi$-LAT constraints on the diffuse supernova axion-like particle background
# arXiv: https://arxiv.org/abs/2110.03679
# Coupling type: AxionPhoton
# Extracted from: figure_vision
# Confidence level: 0.95
# Extraction confidence: 0.70
# mass [eV]    g_agamma [GeV^-1]
1.000000e-11   6.836364e-13
1.500000e-11   8.203636e-13
2.000000e-11   9.570909e-13
3.000000e-11   1.230545e-12
5.000000e-11   1.709091e-12
7.000000e-11   2.187636e-12
1.000000e-10   2.871273e-12
1.500000e-10   3.965091e-12
2.000000e-10   5.127273e-12
3.000000e-10   7.520000e-12
5.000000e-10   1.230545e-11
7.000000e-10   1.777455e-11
1.000000e-09   2.597818e-11
1.500000e-09   3.760000e-11
2.000000e-09   5.332364e-11
3.000000e-09   8.203636e-11
5.000000e-09   1.367273e-10
7.000000e-09   2.050909e-10
1.000000e-08   3.076364e-10
1.500000e-08   4.785455e-10
2.000000e-08   6.836364e-10
3.000000e-08   1.093818e-09
5.000000e-08   1.914182e-09
1.000000e-07   4.443636e-09
2.000000e-07   1.093818e-08
5.000000e-07   3.418182e-08
1.000000e-06   1.230545e-07
