# 3D template-based $Fermi$-LAT constraints on the diffuse supernova axion-like particle background
# arXiv: https://arxiv.org/abs/2110.03679
# Coupling type: AxionPhoton
# Extracted from: figure_vision
# Confidence level: 0.95
# Extraction confidence: 0.72
# mass [eV]    g_agamma [GeV^-1]
1.000000e-12   1.178133e-12
1.500000e-12   1.206333e-12
2.000000e-12   1.228267e-12
3.000000e-12   1.269000e-12
5.000000e-12   1.331667e-12
8.000000e-12   1.410000e-12
1.000000e-11   1.472667e-12
1.500000e-11   1.598000e-12
2.000000e-11   1.692000e-12
3.000000e-11   1.864333e-12
5.000000e-11   2.130667e-12
8.000000e-11   2.444000e-12
1.000000e-10   2.663333e-12
1.500000e-10   2.976667e-12
2.000000e-10   3.290000e-12
3.000000e-10   3.760000e-12
5.000000e-10   4.386667e-12
8.000000e-10   5.170000e-12
1.000000e-09   5.796667e-12
1.500000e-09   6.580000e-12
2.000000e-09   7.363333e-12
3.000000e-09   8.616667e-12
5.000000e-09   1.034000e-11
8.000000e-09   1.253333e-11
1.000000e-08   1.410000e-11
1.500000e-08   1.598000e-11
2.000000e-08   1.786000e-11
3.000000e-08   2.099333e-11
5.000000e-08   2.569333e-11
1.000000e-07   3.603333e-11
