# 3D template-based $Fermi$-LAT constraints on the diffuse supernova axion-like particle background
# arXiv: https://arxiv.org/abs/2110.03679
# Coupling type: AxionPhoton
# Extracted from: figure_vision
# Confidence level: 0.95
# Extraction confidence: 0.65
# mass [eV]    g_agamma [GeV^-1]
1.000000e-11   3.760000e-11
2.000000e-11   3.900000e-11
5.000000e-11   4.200000e-11
1.000000e-10   4.800000e-11
2.000000e-10   5.500000e-11
5.000000e-10   6.800000e-11
1.000000e-09   8.200000e-11
2.000000e-09   1.000000e-10
5.000000e-09   1.300000e-10
1.000000e-08   1.600000e-10
2.000000e-08   2.000000e-10
5.000000e-08   2.600000e-10
1.000000e-07   3.200000e-10
2.000000e-07   4.000000e-10
5.000000e-07   5.200000e-10
1.000000e-06   6.500000e-10
2.000000e-06   8.000000e-10
5.000000e-06   1.050000e-09
1.000000e-05   1.300000e-09
2.000000e-05   1.600000e-09
5.000000e-05   2.100000e-09
1.000000e-04   2.600000e-09
2.000000e-04   3.200000e-09
5.000000e-04   4.200000e-09
1.000000e-03   5.200000e-09
2.000000e-03   6.500000e-09
5.000000e-03   8.500000e-09
1.000000e-02   1.050000e-08
2.000000e-02   1.300000e-08
5.000000e-02   1.700000e-08
1.000000e-01   2.100000e-08
2.000000e-01   2.600000e-08
5.000000e-01   3.400000e-08
1.000000e+00   4.200000e-08
2.000000e+00   5.200000e-08
5.000000e+00   6.800000e-08
1.000000e+01   8.400000e-08
2.000000e+01   1.030000e-07
5.000000e+01   1.350000e-07
1.000000e+02   1.650000e-07
