# 3D template-based $Fermi$-LAT constraints on the diffuse supernova axion-like particle background
# arXiv: https://arxiv.org/abs/2110.03679
# Coupling type: AxionPhoton
# Extracted from: figure_vision
# Confidence level: 0.95
# Extraction confidence: 0.72
# mass [eV]    g_agamma [GeV^-1]
1.000000e-11   3.760000e-12
2.000000e-11   5.200000e-12
5.000000e-11   8.500000e-12
1.000000e-10   1.300000e-11
2.000000e-10   1.800000e-11
5.000000e-10   2.800000e-11
1.000000e-09   4.200000e-11
2.000000e-09   5.800000e-11
5.000000e-09   8.500000e-11
1.000000e-08   1.250000e-10
2.000000e-08   1.700000e-10
5.000000e-08   2.500000e-10
1.000000e-07   3.600000e-10
2.000000e-07   4.900000e-10
5.000000e-07   7.000000e-10
1.000000e-06   9.800000e-10
2.000000e-06   1.330000e-09
5.000000e-06   1.900000e-09
1.000000e-05   2.650000e-09
2.000000e-05   3.600000e-09
5.000000e-05   5.100000e-09
1.000000e-04   7.100000e-09
2.000000e-04   9.600000e-09
5.000000e-04   1.350000e-08
1.000000e-03   1.900000e-08
2.000000e-03   2.600000e-08
5.000000e-03   3.600000e-08
1.000000e-02   5.000000e-08
2.000000e-02   6.800000e-08
5.000000e-02   9.500000e-08
1.000000e-01   1.320000e-07
2.000000e-01   1.800000e-07
5.000000e-01   2.500000e-07
1.000000e+00   3.500000e-07
2.000000e+00   4.800000e-07
5.000000e+00   6.800000e-07
1.000000e+01   9.500000e-07
2.000000e+01   1.320000e-06
5.000000e+01   1.900000e-06
1.000000e+02   2.650000e-06
