# The implications of the axion like particle from the Fermi-LAT and H.E.S.S. observations of PG 1553+113 and PKS 2155-304
# arXiv: https://arxiv.org/abs/2002.07571
# Coupling type: AxionPhoton
# Extracted from: figure_vision
# Confidence level: 0.95
# Extraction confidence: 0.70
# mass [eV]    g_agamma [GeV^-1]
9.000000e-09   5.000000e-11
1.200000e-08   4.800000e-11
1.500000e-08   4.600000e-11
2.000000e-08   4.400000e-11
2.500000e-08   4.200000e-11
3.000000e-08   4.000000e-11
3.500000e-08   3.800000e-11
4.000000e-08   3.500000e-11
4.500000e-08   3.200000e-11
5.000000e-08   2.900000e-11
6.000000e-08   2.500000e-11
7.000000e-08   2.100000e-11
8.000000e-08   1.800000e-11
9.000000e-08   1.500000e-11
1.000000e-07   1.200000e-11
1.200000e-07   9.000000e-12
1.400000e-07   7.000000e-12
1.600000e-07   5.000000e-12
1.800000e-07   4.000000e-12
2.000000e-07   3.000000e-12
