# The Grenoble Axion Haloscope platform (GrAHal): development plan and first results
# arXiv: https://arxiv.org/abs/2110.14406
# Coupling type: AxionPhoton
# Extracted from: figure_vision
# Confidence level: 0.95
# Extraction confidence: 0.75
# Corrections applied:
#   DM density: paper=0.3 GeV/cm³ → repo=0.45 GeV/cm³; factor=sqrt(0.45/0.3)=1.2247
# mass [eV]    g_agamma [GeV^-1]
1.040000e-05   1.000000e+00
1.040000e-05   3.919184e-13
1.050000e-05   3.796709e-13
1.060000e-05   3.674235e-13
1.070000e-05   3.551760e-13
1.080000e-05   3.429286e-13
1.090000e-05   3.306811e-13
1.100000e-05   3.184337e-13
1.110000e-05   3.061862e-13
1.120000e-05   2.939388e-13
1.130000e-05   2.816913e-13
1.140000e-05   2.694439e-13
1.150000e-05   2.571964e-13
1.160000e-05   2.449490e-13
1.170000e-05   2.388252e-13
1.180000e-05   2.327015e-13
1.190000e-05   2.302520e-13
1.200000e-05   2.278025e-13
1.210000e-05   2.265778e-13
1.220000e-05   2.253531e-13
1.230000e-05   2.241283e-13
1.240000e-05   2.229036e-13
1.250000e-05   2.216788e-13
1.260000e-05   2.229036e-13
1.270000e-05   2.253531e-13
1.280000e-05   2.290273e-13
1.290000e-05   2.327015e-13
1.300000e-05   2.388252e-13
1.310000e-05   2.449490e-13
1.320000e-05   2.571964e-13
1.330000e-05   2.694439e-13
1.330000e-05   1.000000e+00
