# Gamma-Ray Constraints on Heavy Axion-Like-Particle Decays from Fermi-LAT and H.E.S.S. Blazar Spectra
# arXiv: https://arxiv.org/abs/2606.11923
# Coupling type: AxionPhoton
# Extracted from: text
# Confidence level: 0.95
# Extraction confidence: 0.92
# mass [eV]    g_agamma [GeV^-1]
2.500000e+00   1.000000e+00
2.500000e+00   4.450000e-11
5.000000e+00   1.370000e-11
7.500000e+00   9.310000e-12
1.000000e+01   7.630000e-12
1.250000e+01   6.730000e-12
1.500000e+01   6.150000e-12
1.750000e+01   5.740000e-12
2.000000e+01   5.400000e-12
2.000000e+01   1.000000e+00
