# First constraints on QCD axion dark matter using James Webb Space Telescope observations
# arXiv: https://arxiv.org/abs/2503.11753
# Coupling type: AxionPhoton
# Extracted from: figure_vector
# Confidence level: 0.95
# Extraction confidence: 0.90
# Corrections applied:
#   DM density: paper=0.29 GeV/cm³ → repo=0.45 GeV/cm³; data stored paper-native, plotting method applies sqrt(0.29/0.45)=0.8028 (chi ∝ 1/sqrt(rho))
# mass [eV]    g_agamma [GeV^-1]
1.017000e-01   5.583000e-09
1.054000e-01   5.371000e-09
1.092000e-01   4.202000e-09
1.132000e-01   4.221000e-09
1.173000e-01   3.185000e-09
1.216000e-01   2.361000e-09
1.260000e-01   1.770000e-09
1.306000e-01   1.955000e-09
1.354000e-01   1.812000e-09
1.403000e-01   1.299000e-09
1.454000e-01   1.428000e-09
1.507000e-01   1.103000e-09
1.562000e-01   9.394000e-10
1.619000e-01   1.012000e-09
1.678000e-01   8.935000e-10
1.739000e-01   8.137000e-10
1.803000e-01   7.530000e-10
1.869000e-01   7.145000e-10
1.937000e-01   6.754000e-10
2.007000e-01   6.786000e-10
2.080000e-01   5.429000e-10
2.156000e-01   8.855000e-10
2.235000e-01   8.718000e-10
2.316000e-01   7.172000e-10
2.401000e-01   7.014000e-10
2.488000e-01   6.410000e-10
2.579000e-01   5.830000e-10
2.673000e-01   5.687000e-10
2.770000e-01   5.339000e-10
2.871000e-01   5.358000e-10
2.976000e-01   5.937000e-10
3.084000e-01   5.528000e-10
3.196000e-01   6.122000e-10
3.313000e-01   5.176000e-10
3.434000e-01   4.892000e-10
3.559000e-01   5.692000e-10
3.688000e-01   5.505000e-10
3.823000e-01   4.127000e-10
3.962000e-01   4.063000e-10
4.107000e-01   3.624000e-10
4.256000e-01   4.394000e-10
4.411000e-01   4.430000e-10
4.572000e-01   4.194000e-10
4.738000e-01   6.573000e-11
4.911000e-01   7.945000e-11
5.091000e-01   5.147000e-11
5.277000e-01   4.759000e-11
5.469000e-01   4.488000e-11
5.669000e-01   5.642000e-11
5.876000e-01   4.748000e-11
6.091000e-01   4.680000e-11
6.313000e-01   4.318000e-11
6.544000e-01   4.247000e-11
6.783000e-01   3.677000e-11
7.031000e-01   2.609000e-11
7.288000e-01   2.865000e-11
7.554000e-01   3.028000e-11
7.830000e-01   2.952000e-11
8.116000e-01   2.444000e-11
8.412000e-01   2.378000e-11
8.719000e-01   3.670000e-11
9.038000e-01   3.198000e-11
9.368000e-01   3.255000e-11
9.710000e-01   3.048000e-11
1.006000e+00   2.892000e-11
1.043000e+00   2.953000e-11
1.081000e+00   2.997000e-11
1.121000e+00   2.995000e-11
1.162000e+00   2.322000e-11
1.204000e+00   3.375000e-11
1.248000e+00   2.495000e-11
1.294000e+00   2.969000e-11
1.341000e+00   2.393000e-11
1.390000e+00   2.227000e-11
1.441000e+00   2.165000e-11
1.493000e+00   3.590000e-11
1.548000e+00   3.091000e-11
1.605000e+00   4.464000e-11
1.663000e+00   3.093000e-11
1.724000e+00   2.758000e-11
1.787000e+00   3.634000e-11
1.852000e+00   2.164000e-11
1.920000e+00   2.823000e-11
1.990000e+00   2.598000e-11
2.063000e+00   1.545000e-11
2.138000e+00   1.180000e-11
2.216000e+00   1.004000e-11
2.297000e+00   1.084000e-11
2.381000e+00   1.504000e-11
2.468000e+00   1.259000e-11
2.558000e+00   2.123000e-11
2.651000e+00   2.109000e-11
2.748000e+00   3.694000e-11
2.849000e+00   2.751000e-11
2.953000e+00   3.497000e-11
3.061000e+00   3.511000e-11
3.172000e+00   2.989000e-11
3.288000e+00   2.607000e-11
3.408000e+00   2.307000e-11
3.533000e+00   4.559000e-11
3.662000e+00   4.666000e-11
3.796000e+00   3.994000e-11
3.934000e+00   2.419000e-11
