# Joint Multi-Period Fermi-LAT and LHAASO Constraints on Axion-Like Particles from Mrk 421 Using Profile Likelihood with Gaussian Copula Correlation
# arXiv: https://arxiv.org/abs/2606.05738
# Coupling type: AxionPhoton
# Extracted from: figure_vision
# Confidence level: 0.95
# Extraction confidence: 0.80
# mass [eV]    g_agamma [GeV^-1]
1.000000e-10   7.000000e-13
2.000000e-10   7.000000e-13
4.000000e-10   7.000000e-13
7.000000e-10   7.000000e-13
9.500000e-10   7.000000e-13
1.000000e-09   1.800000e-12
1.300000e-09   1.900000e-12
1.800000e-09   1.900000e-12
2.500000e-09   1.950000e-12
3.500000e-09   1.950000e-12
5.000000e-09   2.000000e-12
7.000000e-09   2.000000e-12
1.000000e-08   2.000000e-12
1.500000e-08   2.050000e-12
2.000000e-08   2.100000e-12
3.000000e-08   2.100000e-12
4.000000e-08   2.150000e-12
5.000000e-08   2.200000e-12
6.000000e-08   2.500000e-12
7.000000e-08   3.000000e-12
8.000000e-08   3.300000e-12
1.000000e-07   3.800000e-12
1.300000e-07   4.500000e-12
1.700000e-07   5.200000e-12
2.200000e-07   6.000000e-12
3.000000e-07   7.000000e-12
4.000000e-07   7.800000e-12
5.000000e-07   8.700000e-12
