# Correlation Between Proton Decay Channels and the Axion Mass in an Extended SU(5) GUT
# arXiv: https://arxiv.org/abs/2606.13101
# Coupling type: AxionPhoton
# Extracted from: figure_vision
# Confidence level: 0.9
# Extraction confidence: 0.78
# mass [eV]    g_agamma [GeV^-1]
5.000000e-10   8.000000e-19
6.000000e-10   8.000000e-19
7.000000e-10   8.000000e-19
8.000000e-10   8.000000e-19
8.500000e-10   8.000000e-19
9.000000e-10   1.000000e-19
1.000000e-09   1.050000e-19
1.200000e-09   1.300000e-19
1.500000e-09   1.700000e-19
2.000000e-09   2.300000e-19
2.500000e-09   3.000000e-19
3.000000e-09   3.700000e-19
3.500000e-09   4.400000e-19
4.000000e-09   5.200000e-19
4.400000e-09   5.800000e-19
4.500000e-09   8.500000e-19
5.000000e-09   8.500000e-19
6.000000e-09   8.500000e-19
7.000000e-09   8.500000e-19
8.000000e-09   8.500000e-19
9.000000e-09   8.500000e-19
1.000000e-08   8.500000e-19
1.200000e-08   8.500000e-19
1.500000e-08   8.500000e-19
2.000000e-08   8.500000e-19
3.000000e-08   8.500000e-19
4.000000e-08   8.500000e-19
4.800000e-08   8.500000e-19
5.000000e-08   2.400000e-18
