# Axion Polarimetric Experiment (APE)
# arXiv: https://arxiv.org/abs/2607.00822
# Coupling type: AxionPhoton
# Extracted from: figure_vision
# Confidence level: 0.95
# Extraction confidence: 0.75
# Corrections applied:
#   DM density: paper=0.4 GeV/cm³ → repo=0.45 GeV/cm³; factor=sqrt(0.45/0.4)=1.0607
# mass [eV]    g_agamma [GeV^-1]
4.136000e-16   6.894291e-10
8.270000e-16   6.788225e-10
1.650000e-15   6.682159e-10
4.140000e-15   6.576093e-10
8.270000e-15   6.470027e-10
1.650000e-14   6.363961e-10
2.480000e-14   6.151829e-10
4.140000e-14   5.833631e-10
6.200000e-14   5.303301e-10
8.270000e-14   4.879037e-10
1.240000e-13   4.454773e-10
1.650000e-13   4.242641e-10
2.070000e-13   4.242641e-10
2.480000e-13   4.348707e-10
3.310000e-13   4.666905e-10
4.140000e-13   4.985103e-10
6.200000e-13   5.621499e-10
8.270000e-13   6.151829e-10
1.240000e-12   6.894291e-10
1.650000e-12   7.424621e-10
2.480000e-12   8.167083e-10
4.140000e-12   9.015611e-10
6.200000e-12   9.864140e-10
8.270000e-12   1.060660e-09
1.240000e-11   1.219759e-09
1.650000e-11   1.378858e-09
2.070000e-11   1.590990e-09
2.480000e-11   1.803122e-09
3.310000e-11   2.227386e-09
4.140000e-11   2.863782e-09
6.200000e-11   4.772971e-09
8.270000e-11   7.424621e-09
1.240000e-10   1.590990e-08
1.650000e-10   3.181981e-08
2.070000e-10   6.363961e-08
2.480000e-10   1.060660e-07
