# Searching for axions with quantum interferometry
# arXiv: https://arxiv.org/abs/2604.13181
# Coupling type: AxionPhoton
# Extracted from: figure_vision
# Confidence level: 0.95
# Extraction confidence: 0.85
# Corrections applied:
#   DM density: paper=0.3 GeV/cm³ → repo=0.45 GeV/cm³; factor=sqrt(0.45/0.3)=1.2247
# mass [eV]    g_agamma [GeV^-1]
1.000000e-16   1.714643e-14
1.500000e-16   1.653406e-14
2.000000e-16   1.592168e-14
3.000000e-16   1.530931e-14
5.000000e-16   1.408457e-14
8.000000e-16   1.224745e-14
1.200000e-15   1.041033e-14
1.800000e-15   7.960842e-15
2.500000e-15   6.123724e-15
3.800000e-15   4.286607e-15
5.500000e-15   3.061862e-15
8.000000e-15   2.204541e-15
1.200000e-14   1.592168e-15
1.800000e-14   1.224745e-15
2.800000e-14   9.797959e-16
4.200000e-14   7.960842e-16
6.500000e-14   6.736097e-16
1.000000e-13   6.123724e-16
1.500000e-13   6.368673e-16
2.200000e-13   7.103520e-16
3.300000e-13   8.818163e-16
5.000000e-13   1.224745e-15
7.500000e-13   1.837117e-15
1.100000e-12   2.694439e-15
1.600000e-12   3.919184e-15
2.400000e-12   5.878775e-15
3.600000e-12   8.573214e-15
5.400000e-12   1.224745e-14
8.000000e-12   1.837117e-14
1.200000e-11   2.694439e-14
1.800000e-11   3.919184e-14
2.700000e-11   5.511352e-14
4.000000e-11   7.593418e-14
6.000000e-11   1.041033e-13
9.000000e-11   1.408457e-13
1.300000e-10   1.837117e-13
1.900000e-10   2.449490e-13
2.800000e-10   3.306811e-13
4.200000e-10   4.286607e-13
6.300000e-10   5.511352e-13
9.500000e-10   7.103520e-13
1.400000e-09   9.185587e-13
2.100000e-09   1.200250e-12
3.200000e-09   1.530931e-12
4.800000e-09   1.959592e-12
7.200000e-09   2.449490e-12
1.080000e-08   3.061862e-12
1.620000e-08   3.919184e-12
2.430000e-08   4.898979e-12
3.650000e-08   6.368673e-12
5.500000e-08   8.328265e-12
8.200000e-08   1.077775e-11
1.230000e-07   1.408457e-11
1.850000e-07   1.837117e-11
2.800000e-07   2.449490e-11
4.200000e-07   3.306811e-11
6.300000e-07   4.531556e-11
9.500000e-07   6.123724e-11
1.400000e-06   8.328265e-11
2.100000e-06   1.126765e-10
3.200000e-06   1.530931e-10
4.800000e-06   2.082066e-10
7.200000e-06   2.816913e-10
1.080000e-05   3.796709e-10
1.620000e-05   5.143928e-10
2.400000e-05   7.103520e-10
3.600000e-05   9.553010e-10
5.400000e-05   1.285982e-09
8.100000e-05   1.714643e-09
1.220000e-04   2.327015e-09
1.830000e-04   3.184337e-09
