# Axion magnetohydrodynamics and reconnection-driven axion bursts
# arXiv: https://arxiv.org/abs/2605.15162
# Coupling type: AxionPhoton
# Extracted from: figure_vision
# Confidence level: 0.9
# Extraction confidence: 0.62
# mass [eV]    g_agamma [GeV^-1]
1.000000e-08   1.285714e-11
1.500000e-08   1.221429e-11
2.200000e-08   1.157143e-11
3.200000e-08   1.092857e-11
4.600000e-08   1.028571e-11
6.800000e-08   9.642857e-12
1.000000e-07   9.000000e-12
1.500000e-07   8.035714e-12
2.200000e-07   7.071429e-12
3.200000e-07   6.107143e-12
4.600000e-07   5.142857e-12
6.800000e-07   4.178571e-12
1.000000e-06   3.342857e-12
1.500000e-06   2.700000e-12
2.200000e-06   2.250000e-12
3.200000e-06   1.800000e-12
4.600000e-06   1.414286e-12
6.800000e-06   1.157143e-12
1.000000e-05   9.642857e-13
1.500000e-05   8.035714e-13
2.200000e-05   7.071429e-13
3.200000e-05   6.107143e-13
4.600000e-05   5.271429e-13
6.800000e-05   4.500000e-13
1.000000e-04   3.857143e-13
1.500000e-04   3.342857e-13
2.200000e-04   2.892857e-13
3.200000e-04   2.442857e-13
4.600000e-04   2.057143e-13
6.800000e-04   1.735714e-13
1.000000e-03   1.478571e-13
