# Simulation of Axion-Induced Electromagnetic Signal Detection Using Plasmonic Metasurfaces and Diamond NV Centers
# arXiv: https://arxiv.org/abs/2607.00068
# Coupling type: AxionPhoton
# Extracted from: figure_vision
# Confidence level: 0.9
# Extraction confidence: 0.40
# mass [eV]    g_agamma [GeV^-1]
1.000000e-11   1.000000e-11
3.000000e-11   1.200000e-11
1.000000e-10   1.000000e-11
3.000000e-10   3.000000e-12
6.000000e-10   8.000000e-12
1.000000e-09   1.000000e-11
3.000000e-09   1.000000e-11
1.000000e-08   1.000000e-11
3.000000e-08   8.000000e-12
1.000000e-07   8.000000e-12
3.000000e-07   8.000000e-12
7.000000e-07   3.000000e-14
8.000000e-07   3.000000e-16
1.000000e-06   1.000000e-14
1.300000e-06   4.000000e-17
1.500000e-06   3.000000e-17
2.000000e-06   5.000000e-14
3.000000e-06   8.000000e-12
1.000000e-05   8.000000e-12
3.000000e-05   8.000000e-12
1.000000e-04   9.000000e-12
3.000000e-04   9.000000e-12
1.000000e-03   1.000000e-11
3.000000e-03   3.000000e-12
7.000000e-03   1.500000e-12
1.000000e-02   1.500000e-12
2.000000e-02   2.000000e-12
4.000000e-02   3.000000e-12
7.000000e-02   4.000000e-12
1.000000e-01   5.000000e-12
2.000000e-01   8.000000e-12
3.000000e-01   1.000000e-11
5.000000e-01   3.000000e-11
7.000000e-01   8.000000e-11
1.000000e+00   2.000000e-10
2.000000e+00   3.000000e-10
4.000000e+00   3.000000e-10
7.000000e+00   3.000000e-10
1.000000e+01   3.000000e-10
