# Axion magnetohydrodynamics and reconnection-driven axion bursts
# arXiv: https://arxiv.org/abs/2605.15162
# Coupling type: AxionPhoton
# Extracted from: figure_vision
# Confidence level: 0.95
# Extraction confidence: 0.75
# mass [eV]    g_agamma [GeV^-1]
1.000000e-08   1.935484e-11
1.500000e-08   1.896774e-11
2.200000e-08   1.838710e-11
3.200000e-08   1.780645e-11
4.600000e-08   1.703226e-11
6.700000e-08   1.606452e-11
9.800000e-08   1.470968e-11
1.400000e-07   1.316129e-11
2.000000e-07   1.141935e-11
2.900000e-07   9.290323e-12
4.200000e-07   6.774194e-12
6.100000e-07   4.645161e-12
8.800000e-07   3.096774e-12
1.300000e-06   2.129032e-12
1.800000e-06   1.741935e-12
2.600000e-06   1.451613e-12
3.800000e-06   1.200000e-12
5.500000e-06   9.677419e-13
8.000000e-06   7.741935e-13
1.160000e-05   6.193548e-13
1.680000e-05   5.032258e-13
2.420000e-05   4.064516e-13
3.500000e-05   3.290323e-13
5.100000e-05   2.709677e-13
7.400000e-05   2.225806e-13
1.070000e-04   1.838710e-13
1.550000e-04   1.509677e-13
2.250000e-04   1.238710e-13
3.260000e-04   1.006452e-13
4.730000e-04   8.129032e-14
6.860000e-04   6.387097e-14
1.000000e-03   5.032258e-14
