# Dark Matter Detection through Rydberg Atom Transducer
# arXiv: https://arxiv.org/abs/2603.23337
# Coupling type: AxionPhoton
# Extracted from: figure_vision
# Confidence level: 0.95
# Extraction confidence: 0.75
# mass [eV]    g_agamma [GeV^-1]
1.000000e-05   3.250000e-13
1.500000e-05   2.708333e-13
2.000000e-05   2.302083e-13
3.000000e-05   1.760417e-13
4.000000e-05   1.408333e-13
5.000000e-05   1.218750e-13
7.000000e-05   9.479167e-14
1.000000e-04   7.583333e-14
1.500000e-04   5.958333e-14
2.000000e-04   4.875000e-14
3.000000e-04   3.791667e-14
4.000000e-04   2.979167e-14
5.000000e-04   2.572917e-14
7.000000e-04   2.031250e-14
1.000000e-03   1.625000e-14
1.500000e-03   1.300000e-14
2.000000e-03   1.083333e-14
3.000000e-03   8.666667e-15
4.000000e-03   7.312500e-15
5.000000e-03   6.229167e-15
7.000000e-03   5.145833e-15
1.000000e-02   4.062500e-15
1.500000e-02   3.250000e-15
2.000000e-02   2.708333e-15
3.000000e-02   2.166667e-15
4.000000e-02   1.760417e-15
5.000000e-02   1.489583e-15
7.000000e-02   1.218750e-15
1.000000e-01   1.029167e-15
2.000000e-01   5.416667e-16
