# Searching for axions with quantum interferometry
# arXiv: https://arxiv.org/abs/2604.13181
# Coupling type: AxionPhoton
# Extracted from: figure_vision
# Confidence level: 0.95
# Extraction confidence: 0.82
# Corrections applied:
#   DM density: paper=0.3 GeV/cm³ → repo=0.45 GeV/cm³; factor=sqrt(0.45/0.3)=1.2247
# mass [eV]    g_agamma [GeV^-1]
1.000000e-16   1.469694e-13
2.000000e-16   1.408457e-13
4.000000e-16   1.347219e-13
8.000000e-16   1.285982e-13
1.500000e-15   1.200250e-13
3.000000e-15   1.041033e-13
6.000000e-15   8.573214e-14
1.000000e-14   6.736097e-14
2.000000e-14   4.654031e-14
4.000000e-14   3.061862e-14
8.000000e-14   1.837117e-14
1.500000e-13   9.797959e-15
3.000000e-13   4.898979e-15
6.000000e-13   2.449490e-15
1.000000e-12   1.224745e-15
2.000000e-12   7.348469e-16
4.000000e-12   4.286607e-16
8.000000e-12   2.449490e-16
1.500000e-11   1.347219e-16
3.000000e-11   7.348469e-17
6.000000e-11   4.286607e-17
1.000000e-10   2.449490e-17
2.000000e-10   1.469694e-17
4.000000e-10   8.573214e-18
8.000000e-10   4.898979e-18
1.500000e-09   2.816913e-18
3.000000e-09   1.592168e-18
6.000000e-09   9.185587e-19
1.000000e-08   5.511352e-19
2.000000e-08   3.429286e-19
4.000000e-08   2.204541e-19
8.000000e-08   1.469694e-19
1.500000e-07   1.041033e-19
3.000000e-07   7.960842e-20
6.000000e-07   6.123724e-20
1.000000e-06   4.898979e-20
2.000000e-06   3.919184e-20
4.000000e-06   3.184337e-20
1.000000e-05   2.694439e-20
2.000000e-05   2.449490e-20
5.000000e-05   2.571964e-20
1.000000e-04   3.061862e-20
