# Searching for axions with quantum interferometry
# arXiv: https://arxiv.org/abs/2604.13181
# Coupling type: AxionPhoton
# Extracted from: figure_vision
# Confidence level: 0.95
# Extraction confidence: 0.75
# Corrections applied:
#   DM density: paper=0.3 GeV/cm³ → repo=0.45 GeV/cm³; factor=sqrt(0.45/0.3)=1.2247
# mass [eV]    g_agamma [GeV^-1]
1.000000e-16   2.449490e-15
2.000000e-16   2.939388e-15
5.000000e-16   3.674235e-15
1.000000e-15   4.409082e-15
2.000000e-15   5.388877e-15
5.000000e-15   6.858571e-15
1.000000e-14   8.573214e-15
2.000000e-14   1.028786e-14
5.000000e-14   1.273735e-14
1.000000e-13   1.592168e-14
2.000000e-13   1.959592e-14
5.000000e-13   2.449490e-14
1.000000e-12   3.184337e-14
2.000000e-12   3.919184e-14
5.000000e-12   5.388877e-14
1.000000e-11   6.858571e-14
2.000000e-11   8.573214e-14
5.000000e-11   1.175755e-13
1.000000e-10   1.592168e-13
2.000000e-10   2.204541e-13
5.000000e-10   3.184337e-13
1.000000e-09   4.409082e-13
2.000000e-09   6.123724e-13
5.000000e-09   9.308061e-13
1.000000e-08   1.347219e-12
2.000000e-08   1.959592e-12
5.000000e-08   3.184337e-12
1.000000e-07   4.898979e-12
2.000000e-07   7.838367e-12
5.000000e-07   1.469694e-11
1.000000e-06   2.939388e-11
2.000000e-06   6.123724e-11
5.000000e-06   1.469694e-10
1.000000e-05   3.674235e-10
2.000000e-05   9.797959e-10
5.000000e-05   2.939388e-09
1.000000e-04   9.797959e-09
