# Searching for axions with quantum interferometry
# arXiv: https://arxiv.org/abs/2604.13181
# Coupling type: AxionPhoton
# Extracted from: figure_vision
# Confidence level: 0.95
# Extraction confidence: 0.75
# Corrections applied:
#   DM density: paper=0.3 GeV/cm³ → repo=0.45 GeV/cm³; factor=sqrt(0.45/0.3)=1.2247
# mass [eV]    g_agamma [GeV^-1]
1.000000e-16   1.224745e-16
1.500000e-16   1.469694e-16
2.500000e-16   1.837117e-16
5.000000e-16   2.694439e-16
1.000000e-15   4.286607e-16
2.000000e-15   6.736097e-16
5.000000e-15   1.224745e-15
1.000000e-14   2.204541e-15
2.000000e-14   4.286607e-15
5.000000e-14   9.797959e-15
1.000000e-13   1.837117e-14
2.000000e-13   3.674235e-14
5.000000e-13   9.185587e-14
1.000000e-12   1.837117e-13
2.000000e-12   3.919184e-13
5.000000e-12   9.797959e-13
1.000000e-11   2.204541e-12
2.000000e-11   4.898979e-12
5.000000e-11   1.224745e-11
1.000000e-10   2.816913e-11
2.000000e-10   6.123724e-11
5.000000e-10   1.592168e-10
1.000000e-09   3.674235e-10
2.000000e-09   7.960842e-10
5.000000e-09   2.082066e-09
1.000000e-08   4.898979e-09
2.000000e-08   1.224745e-08
5.000000e-08   3.429286e-08
1.000000e-07   9.185587e-08
2.000000e-07   2.204541e-07
5.000000e-07   6.123724e-07
1.000000e-06   1.592168e-06
2.000000e-06   4.286607e-06
5.000000e-06   1.224745e-05
1.000000e-05   3.061862e-05
2.000000e-05   7.348469e-05
5.000000e-05   1.837117e-04
1.000000e-04   4.286607e-04
