# Rotation-induced Relaxation of Supernova Constraints on Axionlike Particles
# arXiv: https://arxiv.org/abs/2604.17840
# Coupling type: AxionPhoton
# Extracted from: figure
# Confidence level: 0.95
# Extraction confidence: 0.65
# mass [eV]    g_agamma [GeV^-1]
1.000000e+07   2.000000e-10
1.000000e+07   4.000000e-10
1.000000e+07   8.000000e-10
1.000000e+07   1.600000e-09
1.000000e+07   3.200000e-09
1.000000e+07   6.400000e-09
1.000000e+07   1.280000e-08
2.000000e+07   2.000000e-10
2.000000e+07   4.000000e-10
2.000000e+07   8.000000e-10
2.000000e+07   1.600000e-09
2.000000e+07   3.200000e-09
2.000000e+07   6.400000e-09
2.000000e+07   1.280000e-08
5.000000e+07   2.000000e-10
5.000000e+07   4.000000e-10
5.000000e+07   8.000000e-10
5.000000e+07   1.600000e-09
5.000000e+07   3.200000e-09
5.000000e+07   6.400000e-09
5.000000e+07   1.280000e-08
1.000000e+08   2.000000e-10
1.000000e+08   4.000000e-10
1.000000e+08   8.000000e-10
1.000000e+08   1.600000e-09
1.000000e+08   3.200000e-09
1.000000e+08   6.400000e-09
1.000000e+08   1.280000e-08
2.000000e+08   2.000000e-10
2.000000e+08   4.000000e-10
2.000000e+08   8.000000e-10
2.000000e+08   1.600000e-09
2.000000e+08   3.200000e-09
2.000000e+08   6.400000e-09
2.000000e+08   1.280000e-08
