# Searching for dark matter X-ray lines from the Large Magellanic Cloud with eROSITA
# arXiv: https://arxiv.org/abs/2603.19109
# Coupling type: AxionPhoton
# Extracted from: text
# Confidence level: 0.95
# Extraction confidence: 0.65
# mass [eV]    g_agamma [GeV^-1]
2.000000e+00   1.000000e+00
2.000000e+00   1.800000e-17
2.500000e+00   1.500000e-17
3.000000e+00   1.300000e-17
3.500000e+00   1.100000e-17
4.000000e+00   9.500000e-18
4.500000e+00   8.200000e-18
5.000000e+00   7.200000e-18
6.000000e+00   5.500000e-18
7.000000e+00   4.300000e-18
8.000000e+00   3.400000e-18
9.000000e+00   2.800000e-18
1.000000e+01   2.300000e-18
1.200000e+01   1.700000e-18
1.400000e+01   1.300000e-18
1.600000e+01   1.000000e-18
1.800000e+01   8.200000e-19
1.800000e+01   1.000000e+00
