# Dark photon search status in $τ-c$ energy region
# arXiv: https://arxiv.org/abs/2604.27703
# Coupling type: DarkPhoton
# Extracted from: figure_vision
# Confidence level: 0.9
# Extraction confidence: 0.65
# mass [eV]    kinetic mixing chi
1.000000e+06   5.142857e-05
1.500000e+06   4.714286e-05
2.000000e+06   4.071429e-05
3.000000e+06   3.428571e-05
5.000000e+06   2.785714e-05
7.000000e+06   2.485714e-05
1.000000e+07   2.228571e-05
1.500000e+07   1.971429e-05
2.000000e+07   1.757143e-05
3.000000e+07   1.500000e-05
5.000000e+07   1.200000e-05
7.000000e+07   1.028571e-05
1.000000e+08   8.571429e-06
1.500000e+08   6.857143e-06
2.000000e+08   6.000000e-06
3.000000e+08   4.714286e-06
5.000000e+08   3.214286e-06
7.000000e+08   2.485714e-06
1.000000e+09   1.800000e-06
