# Spectral distortion anisotropies from photon to dark photon conversions
# arXiv: https://arxiv.org/abs/2606.09491
# Coupling type: DarkPhoton
# Extracted from: figure_vision
# Confidence level: 0.95
# Extraction confidence: 0.85
# mass [eV]    kinetic mixing chi
1.000000e-12   4.400000e-06
1.500000e-12   3.500000e-06
2.000000e-12   3.000000e-06
3.000000e-12   2.400000e-06
5.000000e-12   1.800000e-06
8.000000e-12   1.400000e-06
1.000000e-11   1.200000e-06
2.000000e-11   8.000000e-07
3.000000e-11   6.000000e-07
5.000000e-11   4.000000e-07
8.000000e-11   2.700000e-07
1.000000e-10   2.200000e-07
2.000000e-10   1.300000e-07
3.000000e-10   9.500000e-08
5.000000e-10   6.800000e-08
7.000000e-10   5.800000e-08
9.000000e-10   5.300000e-08
1.000000e-09   5.000000e-08
1.200000e-09   5.100000e-08
1.500000e-09   4.600000e-08
2.000000e-09   4.000000e-08
3.000000e-09   3.700000e-08
5.000000e-09   3.600000e-08
7.000000e-09   3.600000e-08
8.000000e-09   3.400000e-08
9.000000e-09   3.600000e-08
1.000000e-08   3.600000e-08
2.000000e-08   3.500000e-08
3.000000e-08   3.400000e-08
5.000000e-08   3.400000e-08
8.000000e-08   3.400000e-08
1.000000e-07   3.400000e-08
2.000000e-07   3.400000e-08
5.000000e-07   3.400000e-08
1.000000e-06   3.400000e-08
2.000000e-06   3.500000e-08
5.000000e-06   3.700000e-08
8.000000e-06   4.200000e-08
1.000000e-05   4.600000e-08
2.000000e-05   6.000000e-08
3.000000e-05   7.500000e-08
5.000000e-05   1.000000e-07
7.000000e-05   1.400000e-07
9.000000e-05   2.000000e-07
1.000000e-04   3.300000e-07
