# Direct and Indirect searches for DM-electron interactions in sub-GeV DM models
# arXiv: https://arxiv.org/abs/2608.26467
# Coupling type: DarkPhoton
# Extracted from: figure_vision
# Confidence level: 0.95
# Extraction confidence: 0.55
# Corrections applied:
#   DM density: paper=0.4 GeV/cm³ → repo=0.45 GeV/cm³; data stored paper-native, plotting method applies sqrt(0.4/0.45)=0.9428 (chi ∝ 1/sqrt(rho))
# mass [eV]    kinetic mixing chi
2.000000e+06   1.000000e-16
2.200000e+06   5.500000e-17
2.500000e+06   3.000000e-17
2.800000e+06   1.800000e-17
3.000000e+06   1.200000e-17
3.500000e+06   7.000000e-18
4.000000e+06   4.000000e-18
4.500000e+06   2.800000e-18
5.000000e+06   2.000000e-18
5.500000e+06   1.500000e-18
6.000000e+06   1.200000e-18
7.000000e+06   9.500000e-19
8.000000e+06   8.000000e-19
9.000000e+06   7.000000e-19
1.000000e+07   6.000000e-19
1.200000e+07   5.500000e-19
1.500000e+07   5.000000e-19
1.800000e+07   4.800000e-19
2.000000e+07   4.700000e-19
2.500000e+07   4.800000e-19
3.000000e+07   5.000000e-19
3.500000e+07   5.200000e-19
4.000000e+07   5.500000e-19
5.000000e+07   6.200000e-19
6.000000e+07   7.000000e-19
7.000000e+07   7.500000e-19
8.000000e+07   8.200000e-19
9.000000e+07   9.000000e-19
1.000000e+08   1.000000e-18
1.200000e+08   1.100000e-18
1.500000e+08   1.300000e-18
2.000000e+08   1.700000e-18
2.500000e+08   2.100000e-18
3.000000e+08   2.500000e-18
4.000000e+08   3.200000e-18
5.000000e+08   4.000000e-18
6.000000e+08   4.700000e-18
7.000000e+08   5.500000e-18
8.500000e+08   6.400000e-18
1.000000e+09   7.500000e-18
