# Dark photon search status in $τ-c$ energy region
# arXiv: https://arxiv.org/abs/2604.27703
# Coupling type: DarkPhoton
# Extracted from: figure_vision
# Confidence level: 0.9
# Extraction confidence: 0.65
# mass [eV]    kinetic mixing chi
1.000000e+05   6.562500e-03
1.500000e+05   5.250000e-03
2.000000e+05   4.156250e-03
3.000000e+05   2.843750e-03
5.000000e+05   1.531250e-03
7.000000e+05   9.625000e-04
1.000000e+06   5.250000e-04
1.500000e+06   2.625000e-04
2.000000e+06   1.531250e-04
3.000000e+06   6.562500e-05
5.000000e+06   1.968750e-05
7.000000e+06   8.750000e-06
1.000000e+07   3.500000e-06
1.500000e+07   1.531250e-06
2.000000e+07   8.750000e-07
3.000000e+07   4.375000e-07
5.000000e+07   1.968750e-07
7.000000e+07   1.093750e-07
1.000000e+08   5.250000e-08
1.500000e+08   2.625000e-08
2.000000e+08   1.531250e-08
3.000000e+08   6.562500e-09
5.000000e+08   2.187500e-09
7.000000e+08   1.093750e-09
1.000000e+09   4.375000e-10
