# Dark photon search status in $τ-c$ energy region
# arXiv: https://arxiv.org/abs/2604.27703
# Coupling type: DarkPhoton
# Extracted from: figure_vision
# Confidence level: 0.9
# Extraction confidence: 0.75
# mass [eV]    kinetic mixing chi
1.000000e-03   3.000000e-08
1.200000e-03   4.500000e-08
1.500000e-03   6.000000e-08
2.000000e-03   7.500000e-08
3.000000e-03   1.050000e-07
5.000000e-03   1.500000e-07
8.000000e-03   2.400000e-07
1.000000e-02   3.000000e-07
1.200000e-02   3.600000e-07
1.500000e-02   4.500000e-07
2.000000e-02   6.000000e-07
3.000000e-02   9.000000e-07
4.000000e-02   1.200000e-06
5.000000e-02   1.500000e-06
8.000000e-02   2.400000e-06
1.000000e-01   3.000000e-06
1.200000e-01   3.600000e-06
1.500000e-01   4.500000e-06
2.000000e-01   6.000000e-06
3.000000e-01   1.050000e-05
4.000000e-01   1.500000e-05
5.000000e-01   1.800000e-05
6.000000e-01   1.950000e-05
7.000000e-01   1.800000e-05
8.000000e-01   1.500000e-05
9.000000e-01   1.200000e-05
1.000000e+00   9.000000e-06
